,baseMean,log2FoldChange,lfcSE,pvalue,padj,
1,25.44382976,-1.005338603,0.205799073,1.36E-07,3.05E-06,
2,0.308648985,0.198693949,0.389233359,0.320354577,0.450035906,
3,10.32210714,0.259083157,0.258296695,0.159306892,0.259395556,
4,0.998830922,0.280819084,0.348478562,0.158751429,0.258791418,
5,2.043063383,0.508198737,0.577251985,0.035557757,0.078305195,
6,0.409725207,0.091500941,0.335109097,0.12937765,0.220625975,
7,0.411988691,0.330892693,0.566177435,0.117967103,0.204866112,
8,529.2747576,-0.363834148,0.100667136,0.0001594,0.000888734,
9,137.9371399,-0.024189066,0.09396876,0.788885278,0.864288524,
10,0.158441775,0.047563583,0.339626841,0.819653698,0.886894195,
11,0.176644901,0.060027415,0.347666766,0.732626039,0.823110512,
12,0.234447082,0.093650572,0.343217137,0.620288026,0.733967023,
13,900.848399,0.097671187,0.057116876,0.082821692,0.154743858,
14,777.115995,0.071635702,0.079614985,0.356184237,0.487081149,
15,105.1467874,-0.460202848,0.147092851,0.000675582,0.002907093,
16,1092.234619,-0.51258861,0.099028652,8.10E-08,1.96E-06,
17,11.29265659,0.216322792,0.265906184,0.239960219,0.358704737,
18,505.520674,-0.285840365,0.086584936,0.000645252,0.002802363,
19,3.538559411,-0.222426606,0.230078288,0.209482315,0.322301099,
20,613.2576578,0.252342517,0.128852073,0.033430537,0.074487678,
21,149.2496088,-0.109964362,0.127287241,0.352441802,0.483031129,
22,219.6873103,-0.453499745,0.155960772,0.001419293,0.005398252,
23,238.5716274,0.171126352,0.094195455,0.058360683,0.117152741,
24,487.6952931,0.230236247,0.088135407,0.006674895,0.019604376,
25,25.75666538,0.621978285,0.180621394,0.00011249,0.000666238,
26,1408.831267,-0.302953145,0.067906504,4.99E-06,5.62E-05,
27,702.2335057,-0.64445621,0.183478536,0.000106441,0.000638493,
28,620.5979834,0.156176729,0.157808401,0.263963842,0.386813921,
29,2312.151826,0.908720769,0.245471781,1.85E-05,0.000158853,
30,24.91856578,0.132596371,0.13144115,0.275120091,0.399937158,
31,274.6731761,2.787744662,0.410416791,1.98E-13,1.84E-11,
32,1251.414942,-0.051900842,0.148384559,0.69627282,0.794285175,
33,52.65297117,-0.255860693,0.159577385,0.072141855,0.138493279,
34,0.780893114,0.144841746,0.379565208,0.758796896,0.842953338,
35,319.3595106,0.369440037,0.117236845,0.000761233,0.003223529,
36,8.522387309,-0.696693922,0.239225224,0.114736258,0.200386797,
37,3392.261149,-0.23148329,0.156652097,0.098245963,0.176926793,
38,21.34228465,0.189666493,0.134447976,0.124257853,0.213582455,
39,118.9662309,0.184293355,0.202477674,0.263202606,0.385877709,
40,523.4890755,0.375304606,0.095791706,4.50E-05,0.000321026,
41,19.56656298,0.137511648,0.140544143,0.280959978,0.406671032,
42,18.46008058,-0.313055977,0.230469125,0.089621711,0.164905515,
43,4.917467633,0.351214359,0.201888489,0.036238489,0.079513119,
44,162.0658379,0.596501857,0.182388964,0.000206287,0.001106551,
45,358.9163864,-0.150601918,0.066361741,0.020869867,0.050503998,
46,154.3966351,-0.602368168,0.18021485,0.000218328,0.001157862,
47,36.94179756,1.392237791,0.320146234,5.89E-07,9.93E-06,
48,704.8863957,0.047838709,0.074310249,0.510531577,0.636859586,
49,286.1659651,-0.167943549,0.100084773,0.079287616,0.149191283,
50,10.4642149,0.701512808,0.572935516,0.012791182,0.033768882,
51,0.134069545,-0.005727846,0.336981316,0.995786714,0.997775927,
52,186.2909204,0.551356838,0.192607003,0.000916928,0.003754677,
53,557.3767716,0.193097443,0.160119662,0.170972895,0.274358297,
54,402.2512941,0.865154936,0.191515335,6.26E-07,1.04E-05,
55,869.3020926,0.250579718,0.122375028,0.027487262,0.06332337,
56,88.38764235,0.383009076,0.155779946,0.005891452,0.017698533,
57,270.3068547,0.08156904,0.096224984,0.377096362,0.508492715,
58,254.1582558,-0.570370601,0.139182221,1.24E-05,0.000115263,
59,101.1211504,0.183871551,0.207830991,0.27095641,0.395112499,
60,439.1951983,0.13333407,0.090331811,0.125598348,0.215534548,
61,476.0266966,-0.47366985,0.102764765,1.60E-06,2.22E-05,
62,610.2813159,0.481791125,0.137562646,0.000142264,0.000807906,
63,884.7819137,-0.126582223,0.104258978,0.202111928,0.313366542,
64,393.8068864,-0.099603526,0.093772358,0.258346491,0.380381096,
65,200.2588987,-0.002101615,0.111369324,0.982690525,0.99050925,
66,728.2416198,-0.342507534,0.092327811,0.000118611,0.00069807,
67,849.5804372,0.558064585,0.200710849,0.001143918,0.00450873,
68,9.413149014,0.348567036,0.3189323,0.088106552,0.162632989,
69,0.297651573,0.118497445,0.348683422,0.494629364,0.623209311,
70,0.178694065,-0.037538972,0.341201758,0.92331658,0.954494387,
71,2.118079357,0.550861061,0.341429172,0.020970322,0.050710654,
72,3.223515192,-0.300573045,0.20627837,0.077152085,0.146014028,
73,480.1152491,-0.294126661,0.092912451,0.000974763,0.003942604,
74,208.9137064,-0.672764754,0.131362678,7.38E-08,1.81E-06,
75,264.0769939,-0.320407671,0.13691648,0.011259205,0.030391551,
76,15.50283301,0.311857182,0.241853258,0.088559098,0.163360877,
77,1310.528439,0.216286076,0.128022367,0.069008321,0.133758562,
78,103.7979766,-0.583697347,0.213686345,0.001645023,0.006083658,
79,0.430763138,0.004588156,0.342342465,0.927420197,0.957228778,
80,702.6814137,-0.713902236,0.188056113,3.14E-05,0.000241017,
81,233.4121312,-0.065168564,0.11847205,0.557013245,0.67870244,
82,1811.580616,-0.09923025,0.097265842,0.28305613,0.408791416,
83,4.073846515,-1.241275621,0.30318994,4.22E-06,4.92E-05,
84,331.5515372,-1.081827414,0.207937966,2.77E-08,7.93E-07,
85,350.3175782,0.296109679,0.09175613,0.000766711,0.003241245,
86,92.25347392,0.283630569,0.166888159,0.050958942,0.104998367,
87,415.3305082,0.322898515,0.090767473,0.000210613,0.001125811,
88,6585.306033,-0.049112353,0.145162247,0.690741831,0.789861524,
89,3140.271011,0.396554831,0.169298983,0.007465433,0.021484012,
90,1450.676287,0.12529195,0.102667436,0.205212929,0.317210621,
91,3802.487295,0.351529882,0.182952691,0.024271319,0.057310401,
92,117.537218,0.079025174,0.111262395,0.456759965,0.58803611,
93,74.89144133,-0.69147556,0.199273295,0.000110368,0.000656625,
94,3289.507074,0.256822889,0.123958828,0.025389473,0.059409109,
95,196.3516648,0.513469352,0.148289085,0.000146414,0.000828677,
96,657.8853179,-0.848334305,0.201905579,4.61E-06,5.29E-05,
97,1.815883154,0.029698951,0.245381992,0.863798721,0.915333094,
98,467.1606792,0.189899326,0.112753203,0.073117297,0.139966923,
99,237.2036912,0.148427055,0.097520131,0.110737447,0.194776677,
100,413.4548825,0.501626278,0.132698196,4.51E-05,0.000321668,
101,788.3299449,0.188958798,0.175162018,0.209361394,0.322173931,
102,7.417333746,-0.767753812,0.258866837,0.000500595,0.002278731,
103,670.8717914,0.852245514,0.180696995,2.46E-07,4.93E-06,
104,66.13985967,0.263092623,0.259674859,0.157093189,0.256585034,
105,2888.442019,-0.084093441,0.086576844,0.314943004,0.444270909,
106,0.992985958,0.050755533,0.264486239,0.764044029,0.84687779,
107,1123.732052,-0.187789107,0.082372459,0.01864514,0.046080561,
108,197.8048453,0.24550146,0.104413415,0.011883413,0.031760511,
109,344.9618956,0.338141226,0.088692983,7.46E-05,0.00048048,
110,599.5810557,-0.252366914,0.073549913,0.000439701,0.002049749,
111,13448.60011,-0.562209649,0.207204971,0.001363711,0.00522699,
112,77.78435891,0.067362168,0.153046196,0.6237457,0.736406541,
113,4878.484487,-0.524273773,0.115479867,1.71E-06,2.33E-05,
114,955.4831871,-0.163070428,0.086510666,0.050586875,0.104385025,
115,192.4854805,0.533322999,0.114850916,9.59E-07,1.50E-05,
116,159.8009758,-0.03995582,0.143268187,0.758433301,0.842770403,
117,360.4988196,-0.0079382,0.057885285,0.888536928,0.931832999,
118,194.4781709,0.292406115,0.131896641,0.015803882,0.040276337,
119,509.9665576,0.197565394,0.123275887,0.08430356,0.157059454,
120,312.0360833,-0.213375813,0.102935358,0.029364372,0.06682007,
121,528.3525295,0.669066095,0.122245561,7.88E-09,2.75E-07,
122,119.8001643,-0.870045967,0.220135836,1.28E-05,0.000118491,
123,274.0514193,0.149196693,0.100970454,0.121408028,0.209690057,
124,4314.827551,-0.381952327,0.09404905,2.33E-05,0.000191351,
125,0.66263127,-0.346145182,0.438634216,0.110828848,0.194876102,
126,4576.449475,-0.604602464,0.143230435,6.27E-06,6.71E-05,
127,5822.199101,0.376439883,0.16396615,0.009227068,0.025646314,
128,378.4485196,-0.598523321,0.1532353,2.57E-05,0.000206534,
129,487.8222666,0.199475798,0.09113414,0.022513477,0.053793378,
130,414.3391137,0.176895676,0.083985915,0.029475769,0.067029003,
131,731.4810946,0.358427655,0.10108939,0.00019672,0.001064385,
132,167.6686732,-0.528449501,0.144691523,8.45E-05,0.000530745,
133,623.3707897,0.334858773,0.119680717,0.002702735,0.009234709,
134,181.954777,-0.183728144,0.118574493,0.098672806,0.177524597,
135,61.06272567,0.64811971,0.21133892,0.000339455,0.00165914,
136,221.0356447,-0.236966044,0.226536764,0.186220713,0.293566554,
137,4.194014281,0.726680242,0.392855955,0.006543003,0.019277531,
138,209.6735958,-0.717679765,0.157282549,1.08E-06,1.63E-05,
139,18.77755342,-0.366823857,0.259363599,0.065319935,0.12809889,
140,0.199305373,0.092021124,0.346576918,0.647277698,0.754873381,
141,7.802978242,-0.15441877,0.163194328,0.284280686,0.410102655,
142,14.72147699,1.161328333,0.247991154,2.37E-07,4.80E-06,
143,934.0364879,-0.21756398,0.145230684,0.099274567,0.178416604,
144,2.084319389,0.456714914,0.570226242,0.724341967,0.816308817,
145,4307.982624,-0.030310155,0.055416858,0.57824877,0.69801081,
146,7.627776696,-0.105448502,0.288996027,0.538243177,0.661818214,
147,6.420055544,0.121467883,0.172482084,0.413520295,0.545507264,
148,37.63790491,0.180466,0.187942493,0.506471844,0.63348484,
149,4.462726156,0.566452065,0.219892842,0.002403366,0.008340453,
150,1675.461651,0.306896339,0.078230652,5.19E-05,0.000359082,
151,0.116387786,0.034547977,0.340915135,0.834230038,NA,
152,136.973487,0.355629225,0.112343023,0.000778224,0.003277572,
153,906.5191843,-0.186828994,0.089599262,0.031949343,0.071747539,
154,3.60748647,0.220890867,0.311069956,0.237121168,0.355407355,
155,15.31652458,0.290797885,0.232244381,0.105509294,0.187471486,
156,174.9550456,0.26138454,0.089776711,0.002470835,0.008549923,
157,0.428738642,-0.047547789,0.301782181,0.805364792,0.87579,
