gene_id,groups,ENSG00000145386,ENSG00000164305,ENSG00000164305.1
GSM6765294,0,9.952333782,90.6768189,90.6768189
GSM6765307,0,9.911127572,84.79520256,84.79520256
GSM6765321,0,5.522308819,87.25247935,87.25247935
GSM6765335,1,2.976609399,101.9488719,101.9488719
GSM6765349,1,2.224967343,103.0901536,103.0901536
GSM6765363,1,3.717970508,101.8723919,86.79520256
GSM6765379,0,11.23097914,71.46986722,71.46986722
GSM6765393,0,6.266681211,58.48902463,100.9488719
GSM6765408,0,10.42819821,66.74046857,66.74046857
