Gene_ID,Clade IIb,Clade I,Clade Iia,Zaire,,,,,,,,,,
HCCS,1.032100351,0.777688869,0.782184175,-0.56875,,,,,,,,,,
SPATA20,1.254828896,NA,NA,NA,,,,,,,,,,
KDM7A,1.214637146,NA,0.870031305,NA,,,,,,,,,,
PRSS21,1.673950639,NA,NA,-0.554625,,,,,,,,,,
PKD1,3.12838686,NA,NA,NA,,,,,,,,,,
SCMH1,1.252215628,NA,NA,NA,,,,CTBP2,,CTBP2,1.25571814,NA,NA,NA
MRC2,1.077459937,NA,NA,NA,,,,TXNRD1,,TXNRD1,3.743775923,0.704402984,0.713480903,NA
SEMA3B,2.31006407,NA,NA,NA,,,,HSPG2,,HSPG2,1.023314262,NA,NA,NA
AIFM2,3.515573125,NA,NA,NA,,,,CCNA2,,,,,,
DSG2,2.098334684,0.473460306,0.948207315,NA,,,,CCNB1,,,,,,
TSPAN17,1.492443133,0.644268499,0.594819171,NA,,,,CCNB2,,,,,,
ATP9A,1.38320085,NA,NA,NA,,,,BUB1B,,,,,,
EIF2AK2,1.121911985,NA,NA,NA,,,,BUB1,,,,,,
SLC2A3,1.413331009,NA,NA,NA,,,,AURKA,,,,,,
SPHK2,1.411713019,NA,NA,NA,,,,KIF11,,,,,,
ZNF275,2.18759023,NA,NA,0.29325,,,,CDC20,,,,,,
MTHFD2,1.008049755,NA,NA,NA,,,,RRM2,,,,,,
CACNB1,1.843559915,NA,NA,NA,,,,UBE2C,,,,,,
CBFB,1.165740464,NA,0.871656549,NA,,,,,,,,,,
RASSF1,1.375498834,NA,NA,NA,,,,,,,,,,
MNT,1.110262551,NA,NA,NA,,,,,,,,,,
ATP2B1,1.208471061,NA,0.865506824,-0.667875,,,,,,,,,,
SPEG,2.082986642,NA,NA,NA,,,,,,,,,,
PDE8A,1.032360242,NA,NA,-0.397875,,,,,,,,,,
CELSR1,1.410772692,NA,NA,NA,,,,,,,,,,
VPS9D1,2.506346309,NA,NA,NA,,,,,,,,,,
ZNF37A,1.776778011,NA,NA,NA,,,,,,,,,,
ITCH,1.074303954,0.78670035,0.733284644,NA,,,,,,,,,,
TNS1,2.160138003,NA,NA,NA,,,,,,,,,,
MID2,1.066639271,NA,NA,NA,,,,,,,,,,
TRAF5,3.108006786,NA,NA,NA,,,,,,,,,,
ULK2,1.477697091,NA,NA,NA,,,,,,,,,,
ZNF416,1.074474986,NA,NA,NA,,,,,,,,,,
BCORL1,1.267301586,NA,NA,NA,,,,,,,,,,
DDHD2,1.063834176,NA,NA,NA,,,,,,,,,,
SNX10,2.834422686,NA,NA,NA,,,,,,,,,,
KLHL42,1.188992165,NA,NA,NA,,,,,,,,,,
DOCK9,1.224664632,0.882332965,0.811454231,NA,,,,,,,,,,
RCOR1,1.350458626,0.750270124,0.914438913,NA,,,,,,,,,,
PDCD7,1.023862243,NA,NA,NA,,,,,,,,,,
RAB11FIP3,1.53727149,NA,NA,NA,,,,,,,,,,
TNRC6A,1.077306321,NA,NA,-0.3675,,,,,,,,,,
UPRT,1.567362336,NA,NA,NA,,,,,,,,,,
SMIM24,2.482391742,NA,NA,NA,,,,,,,,,,
LZTR1,1.487543375,NA,NA,NA,,,,,,,,,,
XBP1,1.502808348,0.613879993,0.67019746,-0.72175,,,,,,,,,,
SUN2,1.178666816,NA,NA,NA,,,,,,,,,,
BIK,1.564083906,NA,NA,-0.389125,,,,,,,,,,
ZC3H7B,1.004282723,NA,NA,NA,,,,,,,,,,
CGRRF1,1.453796583,NA,NA,NA,,,,,,,,,,
PCK2,1.009044142,NA,NA,NA,,,,,,,,,,
NINL,2.318249822,NA,NA,NA,,,,,,,,,,
CTSZ,1.494860669,NA,0.701747842,-0.702125,,,,,,,,,,
TRIB3,1.61216085,NA,-0.545945706,NA,,,,,,,,,,
CDS2,1.092451805,NA,NA,NA,,,,,,,,,,
ABCD1,2.012987602,NA,NA,NA,,,,,,,,,,
RENBP,3.151401144,NA,NA,NA,,,,,,,,,,
SMARCA1,1.929628541,0.891942896,0.944862661,NA,,,,,,,,,,
KLF8,1.351097239,NA,NA,NA,,,,,,,,,,
PARP4,1.441891917,NA,NA,NA,,,,,,,,,,
KATNAL1,1.851539147,NA,NA,NA,,,,,,,,,,
SLC7A5,1.055899473,0.528909175,0.878097743,-0.53325,,,,,,,,,,
CD276,1.305206418,NA,0.826888319,NA,,,,,,,,,,
GSR,1.209604163,NA,NA,NA,,,,,,,,,,
KCTD9,1.323884066,0.673697139,0.719612663,NA,,,,,,,,,,
SNAPC2,1.496589132,NA,NA,-0.735875,,,,,,,,,,
IL27RA,2.16184421,NA,NA,NA,,,,,,,,,,
DENND3,1.96907622,NA,NA,NA,,,,,,,,,,
KXD1,1.156645287,0.895230055,0.942424104,NA,,,,,,,,,,
PLEKHA8,1.169680519,0.930962087,NA,NA,,,,,,,,,,
GARS,1.085737985,0.526597752,0.874625218,NA,,,,,,,,,,
SERPINE1,1.292521858,0.875025987,NA,-0.476375,,,,,,,,,,
CREB3,1.188280539,NA,NA,-0.775,,,,,,,,,,
DVL1,1.101623715,NA,0.452836937,NA,,,,,,,,,,
RAB11FIP2,1.145348483,NA,NA,NA,,,,,,,,,,
TRIM16L,1.636482094,NA,NA,NA,,,,,,,,,,
ABCC3,2.071175994,NA,NA,NA,,,,,,,,,,
SNX25,1.047242918,NA,NA,NA,,,,,,,,,,
CEP164,1.025218524,NA,NA,NA,,,,,,,,,,
PITPNM1,1.161897792,NA,NA,NA,,,,,,,,,,
CAPRIN2,1.313527779,NA,NA,NA,,,,,,,,,,
SH2B3,2.082011917,NA,NA,NA,,,,,,,,,,
SLC38A1,1.071911154,NA,0.558273593,NA,,,,,,,,,,
MAN1A1,1.00761655,NA,NA,-0.521125,,,,,,,,,,
UST,1.374228065,NA,NA,NA,,,,,,,,,,
FBXO9,1.255067746,0.864678232,NA,NA,,,,,,,,,,
ARFGEF3,1.924103833,NA,NA,NA,,,,,,,,,,
VEGFA,1.775883712,0.619532528,0.788253067,NA,,,,,,,,,,
DBN1,1.747094039,NA,0.719721013,-0.356625,,,,,,,,,,
CCDC88A,1.649283327,NA,NA,NA,,,,,,,,,,
KDM3A,1.211597239,NA,NA,NA,,,,,,,,,,
SLC1A4,1.253917931,NA,NA,NA,,,,,,,,,,
LRRC42,1.045176052,NA,0.538410191,NA,,,,,,,,,,
