,RowNames,Y_Data
284,TLCD5,NA
285,MEX3D,NA
286,CLDN7,NA
287,CCDC149,NA
288,TNRC18,NA
289,CRIP2,NA
290,PRR36,NA
291,BCOR,NA
292,CMTM4,NA
293,AC138969.1,NA
294,PTP4A2,NA
295,AP001062.1,NA
296,PTP4A3,NA
297,IFNE,NA
298,NRBP2,0.75655572
299,L3MBTL1,NA
300,ZNF284,NA
301,ZNF397,NA
302,TNFRSF18,NA
303,SHTN1,0.979967067
304,EPOR,NA
305,SPRY4,NA
306,PEAR1,NA
307,WNT7B,NA
308,NOXA1,NA
309,PAX8-AS1,NA
310,TDRD7,NA
311,PPP1R26,NA
312,SLC6A9,NA
313,MAN2A2,NA
314,HRH1,NA
315,ZFP28,NA
316,PDLIM7,0.807477858
317,FUT11,NA
318,PCNX3,0.857242407
319,NOL4L,NA
320,ZNF251,NA
321,CARD11,NA
322,GFPT1,NA
323,TXNRD1,0.704402984
324,ZNF587,NA
325,NBR2,NA
326,KLHL9,NA
327,ANKRD13B,NA
328,CDC42BPB,NA
329,PLXNB3,NA
330,FAM169A,NA
331,SMC5,0.92815432
332,RASGEF1A,NA
333,INF2,NA
334,RPA4,NA
335,ZDBF2,NA
336,SPANXN5,NA
337,MICA,NA
338,ZNF805,NA
339,TRIM27,NA
340,SLFN12L,NA
341,ITPRIPL2,NA
342,SIPA1,NA
343,KCTD11,NA
344,MYL5,NA
345,NPEPL1,NA
346,LINC00571,NA
347,AL391427.1,NA
348,AL590617.2,NA
349,SLC16A1-AS1,NA
350,HSBP1L1,NA
351,SLC25A25-AS1,NA
352,AL021392.1,NA
353,AL109615.3,NA
354,AL357079.1,NA
355,SNHG3,NA
356,ARFGAP3,NA
357,DBNDD2,NA
358,MIR210HG,NA
359,NOP14-AS1,NA
360,HOXC-AS2,NA
361,LINC02381,NA
362,SHLD3,NA
363,TMEM200B,NA
364,C1orf210,NA
365,AP001453.2,NA
366,GALNT4,NA
367,AC009120.2,NA
368,ERVK13-1,NA
369,AC008870.2,NA
370,EPPK1,NA
371,GAN,NA
372,AC006504.1,NA
373,AC020978.5,NA
374,CORO7,NA
375,AC104564.3,NA
376,AC127024.5,NA
377,AC010327.4,NA
378,ZNF224,NA
379,AC132192.2,NA
380,MIR4453HG,NA
381,ZNF528-AS1,NA
382,AC004918.4,NA
383,Z83843.1,NA
384,AC005041.3,NA
385,AL139246.5,NA
386,AC093673.2,NA
387,AC104506.1,NA
388,PAXIP1-AS1,NA
389,AC103691.1,NA
390,AC080038.1,NA
391,MLLT6,NA
392,AP003419.3,NA
393,AC005363.2,NA
394,AC015871.4,NA
395,EBLN3P,0.87787647
396,AC004706.3,NA
