Category,ID,Term,Genes,adj_pval
GOTERM_BP_DIRECT,GO:0036254,cellular response to amiloride,"SCNN1G, SCNN1B",0.070443906
GOTERM_BP_DIRECT,GO:0019884,antigen processing and presentation of exogenous antigen,"PSME1, PSME2",0.070443906
GOTERM_BP_DIRECT,GO:1905342,positive regulation of protein localization to kinetochore,"CDT1, NDC80",0.070443906
GOTERM_BP_DIRECT,GO:1905448,positive regulation of mitochondrial ATP synthesis coupled electron transport,"CHCHD2, CCNB1",0.070443906
GOTERM_BP_DIRECT,GO:0099638,endosome to plasma membrane protein transport,"ATP6AP1, SORL1",0.070443906
GOTERM_BP_DIRECT,GO:0006260,DNA replication,"POLA2, RRM2, MCM7, NAP1L1, MCM5, SSRP1",0.070920767
GOTERM_BP_DIRECT,GO:0008284,positive regulation of cell proliferation,"EDN1, CD81, NOLC1, NAP1L1, FOXM1, THBS1, DPP4, CDC20, KITLG, SAPCD2, PRC1, ID4, CTSH, BIRC5, HPSE, SSBP3",0.071793498
GOTERM_BP_DIRECT,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,"CCNA2, CCNB2, CCNB1, CDKN3",0.074194235
GOTERM_BP_DIRECT,GO:0044772,mitotic cell cycle phase transition,"CCNA2, CCNB2, CCNB1",0.074555519
GOTERM_BP_DIRECT,GO:0051000,positive regulation of nitric-oxide synthase activity,"SCARB1, CALM3, HIF1A",0.074555519
GOTERM_BP_DIRECT,GO:0045786,negative regulation of cell cycle,"CDT1, GMNN, TENT5B, RHOB",0.077469306
GOTERM_BP_DIRECT,GO:0045766,positive regulation of angiogenesis,"IL1A, GAB1, CTSH, HPSE, THBS1, HIF1A, RHOB",0.081585939
GOTERM_BP_DIRECT,GO:0043616,keratinocyte proliferation,"FST, OVOL1, PPARD",0.085223664
GOTERM_BP_DIRECT,GO:0051754,"meiotic sister chromatid cohesion, centromeric","BUB1B, BUB1",0.087267586
GOTERM_BP_DIRECT,GO:0006196,AMP catabolic process,"NT5E, XDH",0.087267586
GOTERM_BP_DIRECT,GO:0002248,connective tissue replacement involved in inflammatory response wound healing,"IL1A, HIF1A",0.087267586
GOTERM_BP_DIRECT,GO:0036343,psychomotor behavior,"DPP4, C12ORF57",0.087267586
GOTERM_BP_DIRECT,GO:0035307,positive regulation of protein dephosphorylation,"PPP1R7, CALM3, SPPL3",0.090720313
