Category,ID,Term,Genes,adj_pval
BP,GO:0001666,response to hypoxia,"SMAD4, ACE, CASP3, BNIP3, DDIT4, SLC2A1, ADM, PLOD2, LIMD1, WTIP, HSPG2, VEGFA",1.75E-04
BP,GO:0006357,regulation of transcription from RNA polymerase II promoter,"ZNF251, ZNF805, ZMIZ2, LRRFIP1, TGIF1, KLF12, KLF13, ZNF284, ZNF282, ZNF160, OVOL2, MED22, CREB3, DGKQ, ZNF319, ZNF514, HOXB2, IRF5, JDP2, KDM7A, ZNF397, ZNF275, KDM3A, CTBP2, CBFB, CTBP1, MLLT6, MNT, DEAF1, ATXN7, NACC2, ZKSCAN2, ZNF587, ZNF224, ZNF664, XBP1, SMAD4, VEGFA, KLF8, ZNF37A, BHLHE40, ZNF416, ZNF778, ZNF337, PKN1, RBAK, RCOR1, ZFP28, ZNF354B",2.92E-04
BP,GO:0007420,brain development,"KDM4B, ACE, FKRP, SPHK2, ATP2B1, SMARCA1, HSPG2, EPOR, PPP3CC, PITPNM1, DDIT4, FPGS, PAFAH1B2",0.001568659
BP,GO:0008285,negative regulation of cell proliferation,"SMAD4, KLF13, TES, CTBP2, CTBP1, TPBG, EIF2AK2, ADM, CGRRF1, HSPG2, CDC73, MNT, RASSF3, NACC2, FTH1, SPRY2, SPEG, SH2B3",0.001896915
BP,GO:0006760,folic acid-containing compound metabolic process,"MTHFD1L, MTHFD2, FPGS",0.00264278
BP,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,"CTBP2, CBFB, CTBP1, CDC73, MNT, DEAF1, NACC2, TRIM27, ANKRD52, LRRFIP1, ZNF224, SNCA, TGIF1, PLK3, XBP1, KLF12, SMAD4, ZNF282, SAP30, VEGFA, OVOL2, KLF8, BHLHE40, ZNF778, TRIB3, ZNF337, BCOR, BCORL1, JDP2, ZNF354B",0.003111972
BP,GO:0045892,"negative regulation of transcription, DNA-templated","ZNF397, L3MBTL1, SMAD4, CTBP2, ZNF282, CTBP1, LIMD1, WTIP, DEAF1, NACC2, BHLHE40, SCMH1, HSBP1L1, TRIB3, BCOR, RBAK, ZNF224, EID2B, RCOR1, TRIM11",0.004728564
BP,GO:0006469,negative regulation of protein kinase activity,"DBNDD2, DVL1, TRIB3, PKN1, TRIM27, SNCA",0.005360877
BP,GO:0090141,positive regulation of mitochondrial fission,"BNIP3, DDHD2, SPIRE1, MIEF2",0.00547963
BP,GO:0006355,"regulation of transcription, DNA-templated","L3MBTL1, ZNF251, CHD7, LIMD1, MLLT6, SCMH1, DVL1, ZKSCAN2, LRRFIP1, ZNF224, ZNF664, PDE8A, TGIF1, SMAD4, ZNF284, ZNF282, ZNF160, SMARCA1, WTIP, SAP30, PTP4A3, ZNF37A, BHLHE40, ZNF778, ZNF514, ZNF337, RBAK, ZFP28, ZNF354B",0.005678323
BP,GO:0006468,protein phosphorylation,"CDKL2, PLK3, SRMS, CTBP1, CDC42BPG, TNK1, HUS1, EIF2AK2, CDC42BPB, RSKR, NRBP2, TRIB3, PKN1, CAMK1, MAP3K11, PDK1",0.007397841
BP,GO:0032092,positive regulation of protein binding,"ACE, RALB, LRP1, CAPRIN2, TRIB3, PKD1",0.00764778
BP,GO:0070534,protein K63-linked ubiquitination,"ITCH, TRAF5, TRAF2, TRIM27, TRIM56",0.008088925
BP,GO:0031623,receptor internalization,"ITCH, RALB, LRP1, ADM, SNCA",0.009996076
BP,GO:0035556,intracellular signal transduction,"SMAD4, CDC42BPG, ADCY4, ADCY3, CDC42BPB, KCTD9, NRBP2, RASSF1, RASSF3, DGKQ, DDIT4, DVL1, PKN1, SH2B3, SIPA1, TNS1",0.010458548
BP,GO:0001843,neural tube closure,"VASP, SDC4, MTHFD1L, DEAF1, ADM, CELSR1",0.011083778
BP,GO:0007565,female pregnancy,"SLC38A1, ACE, SPHK2, SLC2A1, ADM, UPRT",0.01409995
BP,GO:0030036,actin cytoskeleton organization,"VASP, INF2, PDLIM2, IQSEC1, CDC42BPG, SPIRE1, KRAS, CDC42BPB, ARFGEF3, PDLIM7",0.015507495
BP,GO:0007264,small GTPase mediated signal transduction,"DOCK11, CCDC88A, RGS19, RASGEF1A, DOCK9, SH2D3A, VAV2",0.016621062
