Category,ID,Term,Genes,adj_pval
BP,GO:0050914,sensory perception of salty taste,"SCNN1G, SCNN1B",0.070443906
BP,GO:0036037,"CD8-positive, alpha-beta T cell activation","HLA-A, HLA-E",0.070443906
BP,GO:0036018,cellular response to erythropoietin,"MT2A, MT1X",0.070443906
BP,GO:0002455,humoral immune response mediated by circulating immunoglobulin,"EXO1, CD81",0.070443906
BP,GO:2000566,"positive regulation of CD8-positive, alpha-beta T cell proliferation","HLA-A, HLA-E",0.070443906
BP,GO:0036254,cellular response to amiloride,"SCNN1G, SCNN1B",0.070443906
BP,GO:0019884,antigen processing and presentation of exogenous antigen,"PSME1, PSME2",0.070443906
BP,GO:1905342,positive regulation of protein localization to kinetochore,"CDT1, NDC80",0.070443906
BP,GO:1905448,positive regulation of mitochondrial ATP synthesis coupled electron transport,"CHCHD2, CCNB1",0.070443906
BP,GO:0099638,endosome to plasma membrane protein transport,"ATP6AP1, SORL1",0.070443906
BP,GO:0006260,DNA replication,"POLA2, RRM2, MCM7, NAP1L1, MCM5, SSRP1",0.070920767
BP,GO:0008284,positive regulation of cell proliferation,"EDN1, CD81, NOLC1, NAP1L1, FOXM1, THBS1, DPP4, CDC20, KITLG, SAPCD2, PRC1, ID4, CTSH, BIRC5, HPSE, SSBP3",0.071793498
BP,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,"CCNA2, CCNB2, CCNB1, CDKN3",0.074194235
BP,GO:0044772,mitotic cell cycle phase transition,"CCNA2, CCNB2, CCNB1",0.074555519
BP,GO:0051000,positive regulation of nitric-oxide synthase activity,"SCARB1, CALM3, HIF1A",0.074555519
BP,GO:0045786,negative regulation of cell cycle,"CDT1, GMNN, TENT5B, RHOB",0.077469306
BP,GO:0045766,positive regulation of angiogenesis,"IL1A, GAB1, CTSH, HPSE, THBS1, HIF1A, RHOB",0.081585939
BP,GO:0043616,keratinocyte proliferation,"FST, OVOL1, PPARD",0.085223664
BP,GO:0051754,"meiotic sister chromatid cohesion, centromeric","BUB1B, BUB1",0.087267586
BP,GO:0006196,AMP catabolic process,"NT5E, XDH",0.087267586
BP,GO:0002248,connective tissue replacement involved in inflammatory response wound healing,"IL1A, HIF1A",0.087267586
BP,GO:0036343,psychomotor behavior,"DPP4, C12ORF57",0.087267586
BP,GO:0035307,positive regulation of protein dephosphorylation,"PPP1R7, CALM3, SPPL3",0.090720313
CC,GO:0005634,nucleus,"EHF, GMNN, MT1M, CTNND1, HJURP, TESK2, BUB1B, MT1X, IPO4, RGS2, MT2A, CHCHD2, ZSCAN31, SESN3, RASSF5, COTL1, CHP1, KRT4, MSX2, FST, LMO7, OVOL1, JMJD8, KRT9, OLFM2, NCL, RBP1, HAT1, MT1F, MT1H, KIF20A, SNRPF, MT1E, FLG, CEMIP, PSMD13, DLX5, CDCA5, NCAPG, WDR62, RPS4Y1, HIF1A, GLIS1, HSP90B1, CCNB2, CCNB1, PDZD2, NTHL1, SERF2, SAC3D1, ZBTB7C, MFAP3L, BTF3, CDT1, TFAP2C, CBX4, BCL11B, UBE2C, PLK2, XRCC1, ISG15, MT4, EEF2, NDC80, TPX2, POLA2, MAFB, DIAPH3, NACA, ID4, CALM3, BLMH, HPSE, COPS8, MCM7, CITED2, ZFAS1, HSPB8, TECR, NCAPG2, ZBTB8OS, MCM10, YBX1, KIF11, FOXM1, NAT14, EXO1, PBK, IDH3B, TIMP3, MYBL2, DLGAP5, ZNF385A, ZHX3, ARG1, COMMD1, SMC1A, TENT5B, REXO2, RHOB, CCNA2, ASPM, IL1A, MN1, ARL4A, TUBB2A, PSMA2, PELI1, BIRC5, MCM5, NAA38, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, PPARD, HDAC5, ATF6B, NXN, TYMS, AURKA, PSMB6, PPP1R7, POLR2F, TNNI2, CKB, GBP2, FILIP1L, RPL18, BUB1, POLR2K, RRM2, ATP5PB, NAP1L1, SSRP1, GRHL1, CENPF, WEE1, PSMC5, PRC1, KRT15, CDK2AP2, TRIP13, PFKM, SSBP3, CDKN3",3.96E-05
CC,GO:0005737,cytoplasm,"SCARB1, FAM89B, GMNN, MT1M, CTNND1, TESK2, BUB1B, MT1X, ABCA12, IFIT1, AQP3, IPO4, RGS2, MT2A, CDC23, SESN3, LAMP1, RASSF5, STMN1, CHP1, TGM5, RPS10, TGM3, FST, SLC30A1, DNAAF5, LMO7, JMJD8, INPP4B, OLFM2, NCL, PSME1, MT1F, GEMIN4, PSME2, MT1H, SPATA18, MT1E, CEMIP, DLX5, CDCA5, NOLC1, NCAPG, HMMR, DDX60, MTMR4, HIF1A, C12ORF57, CCNB2, CCNB1, PDZD2, EIF4EBP3, SAC3D1, SPRR2D, MFAP3L, FANCI, BTF3, RPL41, TPRG1, PLK2, IFI44, ISG15, CNFN, MT4, EEF2, MRPL21, NDC80, IL1F10, TPX2, DIAPH3, NACA, KIF4A, ID4, CALM3, BLMH, COPS8, GSDME, CITED2, ZFAS1, HSPB8, QPRT, ZBTB8OS, YBX1, KIF11, SIPA1L2, OASL, ROBO1, MMP28, GET3, DLGAP5, ZNF385A, CEP55, ZNF365, EDN1, SERPINB2, MIOS, ARG1, GAB1, COMMD1, TENT5B, REXO2, CCNA2, ASPM, ARL4A, MRPS9, TUBB2A, PSMA2, BIRC5, NAA38, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, HDAC5, SPRR3, KRT80, OAT, ACSS2, TUFT1, TYMS, PHYHIP, PSMB6, LMAN1, PPP1R7, GBP2, FILIP1L, RPL18, FNIP2, KLK13, NAP1L1, SHCBP1, CENPF, WEE1, PSMC5, KITLG, NLRP10, PRC1, CDK2AP2, NUCB1, PFKM, CDKN3",2.02E-05
CC,GO:0005654,nucleoplasm,"EHF, GMNN, HJURP, TESK2, AQP3, IPO4, CDC20, CDC23, RPS10, C17ORF49, LMO7, MYCL, SCNN1G, OLFM2, LTB4R2, NCL, RBP1, HAT1, PSME1, GEMIN4, PSME2, KIF20A, SNRPF, PSMD13, CDCA5, NOLC1, RPS4Y1, HIF1A, CCNB1, COMMD9, NTHL1, MFAP3L, FANCI, CDT1, TFAP2C, CBX4, UBE2C, XRCC1, ISG15, NDC80, TPX2, POLA2, TBL3, KIF4A, ID4, CALM3, GPR107, HPSE, COPS8, MCM7, CITED2, COX4I1, HSPB8, NCAPG2, ZBTB8OS, MCM10, YBX1, FOXM1, OASL, EXO1, CTSK, MYBL2, GET3, ZNF385A, ZHX3, MIOS, COMMD1, NAV2, SMC1A, CCNA2, ARL4A, SAPCD2, PSMA2, BIRC5, MCM5, NAA38, SGK1, CRYAB, PPARD, HDAC5, OAT, ACSS2, ATF6B, AURKA, PSMB6, NT5E, MIEN1, POLR2F, GBP2, BUB1, POLR2K, ATP5PB, WDR18, SSRP1, GRHL1, CENPF, WEE1, PSMC5, CYP24A1, NLRP10, PRC1",5.18E-04
