category,ID,term,count,genes,logFC,adj_pval,zscore
BP,GO:0043066,negative regulation of apoptotic process,17,"SERPINB2, MSX2, CBX4, BCL11B, CITED2, PLK2, TENT5B, THBS1, DKK1, AURKA, HSP90B1, MIEN1, CTSH, BIRC5, NAA38, CRYAB, PPARD",0.993695,2.98E-09,1.73487
BP,GO:0015031,protein transport,18,"BTF3, SLC15A1, NBAS, PRAF2, COMMD1, COPZ1, HSP90B1, SCAMP2, TOM1L2, SCAMP4, LMAN1, CENPF, VPS51, NACA, VPS52, CHMP2A, KIF20A, VPS35L",0.269537,8.63E-09,2.234094
BP,GO:0006412,translation,9,"MRPS9, RPL41, NACA, RPS4Y1, RPL18, RPL39, RPS10, MRPL21, MRPL11",0.993695,2.54E-05,2.264698
BP,GO:0009410,response to xenobiotic stimulus,12,"BCHE, HDAC5, CENPF, ABCD3, SEMA3C, ARG1, SCNN1B, XRCC1, BLMH, TYMS, ADD3, THBS1",0.674036,2.45E-04,2.387335
BP,GO:0055085,transmembrane transport,11,"SLC44A5, PSMB6, SLC35B2, SLC44A3, SLC44A2, PSMA2, GJA5, GJA9, ABCA12, GPR155, GSDME",0.799693,3.79E-04,2.405493
BP,GO:0071222,cellular response to lipopolysaccharide,10,"HADHB, IL1A, HDAC5, ARG1, PDCD1LG2, CD68, GBP2, B2M, PPARD, IL1F10",0.619647,6.16E-04,2.783215
BP,GO:0001666,response to hypoxia,9,"DPP4, IL1A, CITED2, XRCC1, THBS1, CRYAB, HIF1A, TM9SF4, HSP90B1",0.751352,0.001433,2.818005
BP,GO:0071456,cellular response to hypoxia,7,"CCNA2, EDN1, SDHD, HIF1A, AQP3, VASN, PPARD",0.993695,0.002404,2.878758
BP,GO:0009615,response to virus,7,"PSMA2, STMN1, IFI44, ISG15, DDX60, IFIT1, OASL",0.751352,0.003157,3.50685
BP,GO:0051301,cell division,27,"CDCA5, NCAPG2, NCAPG, BUB1B, KIF11, SKA3, SKA1, AURKA, CDC20, CCNB2, CCNB1, CDC23, BUB1, SAC3D1, CDT1, UBE2C, SMC1A, NDC80, CCNA2, ASPM, TPX2, CENPF, WEE1, PRC1, BIRC5, MCM5, KIF2C",8.84E-06,0.006298,3.884873
BP,GO:0010595,positive regulation of endothelial cell migration,5,"SCARB1, EDN1, NRP2, THBS1, RHOB",0.993695,0.006863,4.052033
BP,GO:0030216,keratinocyte differentiation,5,"FLG, SPRR3, CDSN, MAFB, TGM3",0.993695,0.006863,4.112511
BP,GO:0007346,regulation of mitotic cell cycle,5,"CDC20, CDC23, GMNN, BIRC5, DLGAP5",0.993695,0.007747,4.112511
BP,GO:0042776,mitochondrial ATP synthesis coupled proton transport,5,"NDUFA11, ATP5PB, NDUFB11, NDUFS3, SDHD",0.993695,0.010194,4.23905
BP,GO:0030855,epithelial cell differentiation,8,"EHF, DHRS9, KRT4, DLX5, KRT15, KRT24, KRT23, KRT9",0.214172,0.010282,4.364962
BP,GO:0045109,intermediate filament organization,6,"KRT80, KRT4, KRT15, KRT24, KRT23, KRT9",0.529099,0.010966,4.86244
BP,GO:0007059,chromosome segregation,9,"CDT1, CENPF, HJURP, BIRC5, SKA3, BUB1, NDC80, SKA1, DLGAP5",0.050164,0.0125,5.113081
BP,GO:0045333,cellular respiration,4,"COX7B, COX4I1, COX7A2, COX6A1",0.993695,0.014965,5.248347
BP,GO:0031424,keratinization,9,"LCE2B, IL1A, SPRR3, KRT80, KRT4, CNFN, ABCA12, TGM3, SPRR2D",0.035785,0.015034,5.450207
BP,GO:0050919,negative chemotaxis,4,"DPP4, SEMA4A, NRP2, SEMA3C",0.993695,0.017173,5.510765
BP,GO:0000281,mitotic cytokinesis,7,"KIF4A, STMN1, BIRC5, KIF20A, CEP55, RHOB, ZNF365",0.154556,0.026999,5.672846
BP,GO:0048538,thymus development,5,"CCNB2, MAFB, BCL11B, CITED2, EPHB3",0.621346,0.028998,5.74038
BP,GO:0031145,anaphase-promoting complex-dependent catabolic process,5,"PSMB6, CDC20, CDC23, PSMA2, UBE2C",0.619647,0.030099,5.862516
BP,GO:0002052,positive regulation of neuroblast proliferation,4,"ASPM, ID4, WDR62, HIF1A",0.993695,0.033143,5.957584
BP,GO:0001916,positive regulation of T cell mediated cytotoxicity,4,"RAET1L, HLA-A, B2M, HLA-E",0.993695,0.033143,6.123072
BP,GO:0008544,epidermis development,10,"COL17A1, LCE2B, SPRR3, CDSN, KRT15, YBX1, GRHL1, TGM5, KRT9, SPRR2D",0.004723,0.034731,6.407866
BP,GO:0000278,mitotic cell cycle,18,"CDT1, CDCA5, PLK2, DCTN3, NOLC1, KIF11, SKA3, NDC80, SKA1, AURKA, TPX2, CENPF, WEE1, TUBB2A, CDC23, PBK, BIRC5, MYBL2",6.10E-06,0.035194,6.441154
BP,GO:0032465,regulation of cytokinesis,5,"PRC1, PLK2, CALM3, KIF20A, AURKA",0.484935,0.035451,6.560434
BP,GO:0007080,mitotic metaphase plate congression,5,"CCNB1, CDC23, CDCA5, CHMP2A, KIF2C",0.484935,0.037808,6.560434
