ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
TSPAN6,-2.089568413,0.819848633,6.797568815,0.001657485,0.006392761,
LAS1L,-1.415802056,0.421584668,21.98107858,0.000262193,0.001239555,
SEMA3F,-2.36648006,0.32663693,43.28520678,7.16E-14,1.14E-12,
LAP3,-1.530846138,0.453065028,19.75618011,0.000211648,0.001023743,
RBM5,1.810000143,0.206038716,329.4520657,5.51E-19,1.19E-17,
ARF5,-0.810159222,0.16735841,164.9476585,8.76E-07,6.62E-06,
POLDIP2,-0.914568194,0.197222865,120.1023774,2.15E-06,1.53E-05,
FKBP4,0.451267122,0.114230652,463.2118476,6.59E-05,0.000358983,
RECQL,1.858467364,0.176864788,535.5616253,2.38E-26,7.33E-25,
ARHGAP33,2.070243917,1.048369376,8.918150201,0.009597684,0.028890958,
NDUFAB1,-0.768133505,0.258721404,81.62333391,0.002053171,0.007680972,
CDC27,0.82924063,0.307356881,43.14300473,0.004555236,0.01540364,
HCCS,1.032100351,0.203919545,110.9153676,2.40E-07,1.99E-06,
PRSS22,2.29020803,0.360567193,72.74185816,4.95E-11,6.12E-10,
UPF1,0.489310475,0.211437012,106.896141,0.017859112,0.048543577,
SLC25A5,-2.327362619,0.135471673,392.1436011,6.32E-67,5.29E-65,
FAM214B,1.398314829,0.198360797,151.9240852,7.23E-13,1.05E-11,
CREBBP,0.894242806,0.282741251,84.68687422,0.000978403,0.003997029,
WDR54,-1.716777413,0.974302225,5.226631629,0.013761039,0.039171274,
CROT,-3.101115285,0.953254998,7.102626766,0.000109879,0.000569195,
KMT2E,0.961004213,0.296968666,59.79104463,0.000710955,0.003020685,
SOX8,6.623463268,2.364473927,16.86399667,4.16E-07,3.32E-06,
FBXL3,1.297311259,0.324964653,43.26739689,2.72E-05,0.000160357,
ITGA3,0.556765501,0.185897522,120.572893,0.002306716,0.008511412,
ZFX,1.383627047,0.415602309,34.3641527,0.000329946,0.001525155,
REX1BD,-2.753861257,1.057953317,5.344933594,0.000963347,0.003948377,
MAP3K14,2.097112532,0.51069266,20.86414495,8.47E-06,5.49E-05,
TMEM132A,1.208882436,0.465848386,22.62825471,0.00400092,0.013782436,
AP2B1,1.315641336,0.183767859,137.8987972,3.44E-13,5.17E-12,
ZNF263,1.12248154,0.346620056,41.3740981,0.000592239,0.002573332,
SPATA20,1.254828896,0.609584546,10.34076424,0.014658251,0.041316148,
TNFRSF12A,2.078433326,0.096873639,979.1847969,8.77E-103,1.25E-100,
MAP3K9,0.944247247,0.327964803,44.59727576,0.002345228,0.008643725,
BAIAP2L1,0.605382547,0.222598315,99.60169049,0.005237603,0.017341392,
KDM7A,1.214637146,0.309253024,45.51260326,3.85E-05,0.000219453,
TTC22,-1.283781801,0.581023641,11.59634169,0.009294821,0.028178498,
GGCT,-2.303303463,0.220774209,132.8929823,2.98E-26,9.10E-25,
IFRD1,0.838149559,0.235016913,132.6351286,0.000242849,0.001157622,
PRSS21,1.673950639,0.76055077,9.116702856,0.006612794,0.021182221,
CCDC124,-1.985076293,0.298484348,63.07262608,6.07E-12,8.15E-11,
PAFAH1B1,0.495140783,0.160443446,160.2306345,0.001762193,0.006751322,
RHBDF1,2.217026824,0.251060773,134.3624607,2.44E-19,5.36E-18,
LUC7L,0.993157888,0.342638444,42.93395841,0.002090678,0.007797663,
TSR3,-2.04950761,0.296302917,58.84021362,9.06E-13,1.30E-11,
CRAMP1,1.481136552,0.360692685,43.61382829,1.39E-05,8.65E-05,
PSMB1,-0.510125817,0.14732128,203.3224109,0.000453079,0.002029373,
CDK11A,1.306479447,0.416130656,35.18690005,0.000686293,0.002932151,
NADK,0.814899117,0.319090223,39.46135663,0.007044315,0.022368049,
SYPL1,-1.326590919,0.232341005,83.76778133,4.44E-09,4.64E-08,
CYB561,-1.391398765,0.461447085,19.02364481,0.000853774,0.003546421,
SPAG9,0.802269986,0.186685153,162.4402346,1.20E-05,7.50E-05,
CELSR3,2.551495552,0.875272281,32.02874936,0.001097904,0.004435328,
SS18L2,1.052568807,0.324966813,58.06771425,0.00062413,0.00269674,
MPND,-2.28647759,1.189144185,4.347047846,0.005803721,0.018906318,
MGST1,-2.488765181,0.497499921,20.32494671,8.08E-08,7.18E-07,
CRY1,3.792882405,0.395747464,233.9471329,4.20E-22,1.07E-20,
NFIX,-1.648358512,0.667636235,9.502398208,0.003084988,0.010995051,
MMP25,7.463716792,1.246125798,117.5621633,3.89E-11,4.85E-10,
IL32,4.747258956,0.965233999,63.7434192,1.10E-06,8.22E-06,
PKD1,3.12838686,0.561540373,19.70287924,3.73E-09,3.93E-08,
RPS20,-0.514018884,0.11358166,398.5364739,5.19E-06,3.47E-05,
CSDE1,-0.658887413,0.109322671,360.5515498,1.30E-09,1.42E-08,
BAZ1B,1.587374677,0.239718136,84.6432539,1.15E-11,1.51E-10,
ZNF207,1.398813304,0.194477294,181.5356232,2.57E-13,3.92E-12,
UQCRC1,-1.036553333,0.21021042,93.22232476,4.43E-07,3.52E-06,
STARD3NL,1.356303751,0.454157088,23.45485714,0.001012966,0.004126014,
CD9,-0.637468102,0.141975351,200.6570767,5.60E-06,3.73E-05,
GIPR,1.326510818,0.534425409,17.07346136,0.004773252,0.016066066,
NISCH,1.368196187,0.277064371,67.79737592,3.08E-07,2.51E-06,
PRSS3,-2.726937383,0.285342617,74.5894168,1.65E-22,4.30E-21,
SCMH1,1.252215628,0.52624746,17.0213057,0.006750106,0.021538651,
FYN,1.483973012,0.330606811,47.0121226,2.57E-06,1.80E-05,
ELOA,-0.600899276,0.252387123,62.95168543,0.013656536,0.038921975,
CLCN6,1.56138433,0.446003563,28.5523822,0.00014755,0.000739008,
MRC2,1.077459937,0.437442082,20.60016034,0.006675275,0.021348505,
TSPAN9,-1.097777887,0.537540224,14.30596043,0.017975477,0.048754241,
APBA3,1.242748769,0.45169825,28.84362357,0.002495334,0.009126851,
ABHD5,-0.969903446,0.388314411,26.50490529,0.006752305,0.021539947,
RNF216,2.626819751,0.280613485,79.4411786,1.50E-21,3.75E-20,
PLAUR,0.998532441,0.393301867,25.8800712,0.00596322,0.019367483,
ANLN,-1.975354323,0.43031419,24.89414103,9.17E-07,6.92E-06,
ERCC1,0.918894144,0.177680407,161.2498301,1.46E-07,1.25E-06,
SEMA3B,2.31006407,1.323742925,4.267162469,0.012676321,0.036558668,
ELOVL5,0.558910091,0.199749312,130.4377527,0.00428115,0.014638224,
KDM5D,1.459699279,0.342547695,56.24001897,7.54E-06,4.93E-05,
PSMC4,-0.433911885,0.158779455,249.7943641,0.005626317,0.018451323,
CLK1,1.45785872,0.139718438,612.9791552,7.06E-26,2.10E-24,
RNF14,0.835764518,0.350437333,30.94873026,0.010922492,0.032269404,
GPRC5A,2.561261213,0.493734174,31.17330865,4.42E-08,4.05E-07,
UFL1,-0.8190359,0.283416446,48.06603794,0.002515292,0.009186278,
POLA2,-2.339056029,1.5026819,3.039529235,0.011138511,0.032816281,
CAPN1,-0.543986481,0.182294183,121.0309843,0.00235071,0.008655231,
MDH1,-1.969900913,0.310879745,46.59508244,4.98E-11,6.16E-10,
IL20RA,-7.50354834,2.874284457,5.488494966,2.36E-06,1.67E-05,
CLCA4,-3.643051457,0.906830116,11.22330074,1.10E-05,6.95E-05,
SLC38A5,-0.765319683,0.33964861,31.4286294,0.01626574,0.045034139,
RALBP1,-1.39214943,0.313351425,38.32104103,3.16E-06,2.19E-05,
RUFY3,0.906501555,0.371256089,27.26478726,0.008695806,0.026680125,
CNTN1,-2.398122571,0.575713929,14.44623571,4.51E-06,3.05E-05,
PHLDB1,1.964934245,0.850856387,9.720683067,0.004589064,0.015499043,
CYP24A1,-2.11789452,1.244389645,5.419994244,0.012641903,0.036475459,
SAMD4A,1.193363131,0.515978914,20.34582307,0.008770333,0.026859873,
SERPINB1,3.593025071,0.22446229,149.9549649,1.71E-58,1.21E-56,
CPS1,-2.512807916,1.273376405,3.566873995,0.004920244,0.01649244,
NLRP2,-1.118909519,0.521344848,14.10573058,0.013614915,0.038843462,
RNF10,0.431804938,0.177349967,174.2109333,0.013436859,0.038438775,
RNH1,-1.453479358,0.190557254,110.1985225,8.34E-15,1.42E-13,
RB1CC1,1.018363239,0.243560546,76.94954009,1.62E-05,9.97E-05,
ALAS1,0.958991172,0.151308293,274.8854209,1.40E-10,1.67E-09,
DERA,-1.358234226,0.384785997,26.88157155,0.000147985,0.000740728,
PLEKHO1,3.173005823,0.98345246,10.48385157,0.000270198,0.001272605,
GCLM,3.776863766,0.469105616,38.40683683,1.60E-16,3.00E-15,
UBR2,1.09498565,0.28567915,59.59383151,6.59E-05,0.000358983,
EHD2,-0.672594204,0.190247979,108.664905,0.000308568,0.001434235,
HSF2,0.800831166,0.348008456,45.56175371,0.01421963,0.040260751,
NCAPH2,1.387685272,0.362081146,39.2871127,4.79E-05,0.000269131,
TOMM34,0.924602725,0.177446407,168.3399323,1.15E-07,1.00E-06,
VIM,3.36598233,0.331061649,88.69903863,6.21E-25,1.77E-23,
RNASET2,-2.750830531,1.651989317,2.887806832,0.008474795,0.026122889,
CD44,-1.009571659,0.143420465,181.8088399,1.09E-12,1.54E-11,
AGPAT4,2.627232454,0.686806971,26.01423859,3.32E-05,0.000192097,
MIPEP,-2.661569076,0.609303418,13.54432327,1.66E-06,1.20E-05,
IFNGR1,-1.169269413,0.242521342,82.36256901,6.49E-07,5.02E-06,
TBPL1,1.126638433,0.434349096,25.760921,0.004456685,0.015148339,
GRN,-2.341515773,0.144292263,257.5913415,5.57E-60,4.04E-58,
FAM13B,1.259871027,0.550917191,15.73132356,0.008512361,0.026186293,
SARS,0.645780163,0.119783503,281.9501207,5.41E-08,4.90E-07,
ALG1,-2.324844823,0.841464303,6.950704341,0.000748001,0.003160566,
ZCCHC8,1.286414534,0.386005553,35.05270193,0.000354691,0.001625081,
ABCF2,-1.003260239,0.288859709,48.05284081,0.000279667,0.001314064,
CHPF2,1.50195316,0.263915632,72.13118553,4.38E-09,4.58E-08,
ATP6V0A1,0.856308249,0.255028493,70.02894846,0.000511111,0.002258512,
TMSB10,-1.652567655,0.072386843,4009.443208,6.99E-116,1.10E-113,
PEX3,-2.049200531,0.43869101,27.04191024,5.50E-07,4.31E-06,
VCL,-0.868700326,0.225014851,86.41880995,7.18E-05,0.00038764,
NSMAF,0.822278347,0.367697023,26.58899661,0.016340891,0.045191242,
ADSS,-1.17955224,0.500096106,21.30403805,0.007384407,0.023253419,
CUL3,0.707535487,0.283637467,57.16427096,0.009215805,0.027994301,
TUBG2,1.08675978,0.422839694,31.7879979,0.004888887,0.016407257,
MRI1,-1.125030553,0.488712852,15.33215831,0.009224256,0.028008553,
EDC4,1.899909785,0.253708495,100.4246557,1.74E-14,2.89E-13,
TRIO,1.624579917,0.295680097,59.52499182,1.24E-08,1.23E-07,
CDH1,-1.451837632,0.168377642,157.5739632,2.31E-18,4.79E-17,
RIPOR1,2.508270265,0.314656786,118.8834716,3.63E-16,6.69E-15,
PNKP,1.40812434,0.402735792,29.76124494,0.000170233,0.000844132,
PHLPP2,3.169153213,0.566995541,27.43996695,4.92E-09,5.10E-08,
SLC66A1,0.973153601,0.36807377,38.85418088,0.004534173,0.015354992,
RAB27B,-3.436568172,0.592395227,16.95260913,7.78E-10,8.73E-09,
AIFM2,3.515573125,0.81550288,10.96471835,2.47E-06,1.74E-05,
MED17,1.304127701,0.46775077,21.75272872,0.002055191,0.007686078,
CAPG,-1.369521622,0.174663003,140.1884162,1.70E-15,3.02E-14,
AP2S1,-2.784162221,0.244917262,108.943611,7.45E-31,2.71E-29,
BARX2,-0.930767667,1.759272843,2.147608368,0.011751544,0.034334295,
PHKA2,1.623427528,0.560044903,15.46594856,0.001048027,0.00425626,
HSPA5,-0.522785843,0.068327163,1354.182993,1.74E-14,2.88E-13,
DSG2,2.098334684,0.184184392,141.9450041,1.03E-30,3.73E-29,
OFD1,1.075519851,0.312703608,52.37873992,0.000303929,0.001414575,
WDR37,1.19571542,0.366184336,49.39503242,0.000510454,0.00225633,
POLR2B,0.629918933,0.173017565,173.9940276,0.00021664,0.001042773,
FAM214A,0.954788592,0.404598766,35.69817312,0.010352246,0.030833484,
MAP4,-0.939804505,0.197361424,93.65848292,1.14E-06,8.48E-06,
GOPC,-0.839150356,0.385847725,27.52335489,0.018235385,0.049342807,
HDAC9,1.723132661,0.460238045,42.21725695,5.55E-05,0.000307903,
TSPAN17,1.492443133,0.258400897,68.75002178,2.67E-09,2.84E-08,
ZNF800,0.92862322,0.341086868,37.68817326,0.003824359,0.013250352,
RSF1,0.792107774,0.325546331,44.40739865,0.010120329,0.030223013,
KITLG,-1.676600062,0.76115826,8.340874234,0.006016627,0.019508799,
VAMP3,-1.002710166,0.195165419,112.540217,1.55E-07,1.32E-06,
PER3,1.52302975,0.443916301,46.52044223,0.000211183,0.001021853,
EPN3,-2.091538524,0.451219069,22.20878771,6.87E-07,5.29E-06,
RFC2,-1.148078333,0.56425218,16.0347549,0.016828629,0.046223674,
NEDD4L,2.876197358,0.308744033,150.6637624,3.35E-21,8.17E-20,
HEXB,-0.586854777,0.247948458,67.86636913,0.014353185,0.040572296,
DKK3,-2.059739823,0.506016261,16.47003316,8.72E-06,5.62E-05,
ARHGEF5,1.256941757,0.303970494,57.24452403,1.57E-05,9.66E-05,
NFE2L3,-2.852031863,1.333465621,3.849733941,0.003296439,0.01165237,
LIMA1,-1.991776761,0.17412264,150.6227872,5.79E-31,2.13E-29,
BCAR1,2.29346049,0.40820412,34.84050852,3.85E-09,4.04E-08,
FAM160A2,0.831859101,0.334624615,39.84884433,0.008345061,0.025763275,
HERPUD1,0.915569449,0.159206086,178.4046219,5.63E-09,5.82E-08,
HOMER3,0.977404983,0.184010026,150.7277795,6.44E-08,5.79E-07,
THOC3,-1.665653352,0.450409444,22.15895041,5.51E-05,0.000305901,
FNIP2,-1.063407667,0.385810718,25.76014731,0.002873481,0.010329262,
MSMO1,-0.908863463,0.16629908,195.3583527,2.83E-08,2.66E-07,
FOXN3,-3.302798982,1.109636119,4.963927981,0.000320719,0.001485209,
AKR7A2,-2.809769293,0.454945323,26.06234011,8.48E-11,1.03E-09,
TRAPPC3,-0.643282453,0.230517718,81.24464664,0.004044812,0.01390593,
THRAP3,0.726298349,0.159167779,190.8207632,3.75E-06,2.57E-05,
PHPT1,-1.466600004,0.395778261,40.40296082,6.66E-05,0.000362298,
ARID4B,1.017773977,0.323377276,58.27901137,0.000912299,0.003757006,
OPN3,-1.945868076,0.540209754,15.23611453,6.16E-05,0.000338323,
ATP9A,1.38320085,0.372003902,30.52945943,7.40E-05,0.000398313,
RELT,2.833832446,0.491070586,68.21444899,2.12E-09,2.28E-08,
NOP58,0.460718918,0.186292534,140.4902197,0.011803726,0.034452498,
CUL1,0.582935273,0.191058032,114.8311685,0.001874836,0.007115714,
TAB2,0.651802334,0.174006505,166.8498228,0.000140725,0.000707984,
EIF2AK2,1.121911985,0.380588762,28.33765334,0.001518686,0.005918631,
USP36,1.967074743,0.305093106,67.59893777,2.95E-11,3.73E-10,
KMT2C,1.801775684,0.284298814,98.2631823,7.06E-11,8.62E-10,
MCOLN3,4.332687689,0.61486265,34.7418573,6.96E-13,1.02E-11,
PUM2,1.228063337,0.169497518,177.9466439,2.00E-13,3.06E-12,
MRPL43,-1.252094989,0.406692897,22.92281561,0.000820992,0.003418735,
HPF1,-1.430050065,0.598029634,15.8046319,0.004855148,0.016297992,
ZFR,0.78516243,0.217460948,100.7801396,0.000213466,0.001031454,
RC3H2,0.990831679,0.237781118,86.69177553,1.78E-05,0.000108429,
TRAF3IP2,-1.164231727,0.415932422,21.98693655,0.002226451,0.008235063,
SERPINB3,-3.93007701,0.24010394,169.280395,3.51E-61,2.65E-59,
GDI2,-0.688561337,0.196197156,119.6504414,0.00033551,0.00154644,
PITHD1,0.892542531,0.219949751,120.2697567,3.08E-05,0.000179883,
SEC61A1,-0.490046423,0.144552197,194.2642623,0.000609306,0.002640836,
ATP2B4,-0.843520494,0.164651467,150.5041658,1.96E-07,1.65E-06,
YIPF1,-1.648844159,0.381011538,29.83606187,4.06E-06,2.76E-05,
NDC1,-1.26179727,0.592619331,11.4417198,0.011591875,0.033941836,
PARP12,1.343325721,0.372567497,42.36628461,0.000123274,0.000628439,
TARBP1,-2.144085753,1.052666801,4.409707007,0.00534952,0.017673779,
MXD1,0.678163656,0.204230246,181.6681915,0.000705613,0.003001682,
CDK17,0.75178821,0.309754818,49.81355162,0.010676277,0.03162323,
SLC2A3,1.413331009,0.435681714,23.39198354,0.000404389,0.001831494,
STYK1,1.930432582,0.882163405,8.714000028,0.006012992,0.019507378,
WNK1,-0.923152579,0.201007003,102.0464646,2.65E-06,1.86E-05,
CCAR1,0.608553167,0.177030644,152.8445586,0.000475326,0.002113921,
OGFR,1.419672364,0.309064406,53.49605309,1.62E-06,1.17E-05,
GNA15,-0.693846709,0.197993892,92.468148,0.00034079,0.001567111,
MPC1,-1.363504311,0.356400547,39.85625344,4.72E-05,0.000265506,
ACAA1,-0.821655245,0.355690867,30.27225811,0.013263403,0.038005599,
HDAC7,0.95801372,0.388714432,27.25371398,0.007683434,0.024043008,
NCKAP1,0.604435274,0.239799081,66.81956092,0.009396698,0.028412452,
MRPS35,-0.884966916,0.275772208,51.98867707,0.000815148,0.003397476,
CDH3,-1.340225055,0.240006706,67.68002933,9.01E-09,9.13E-08,
GPBP1,1.356462183,0.247509427,102.5655613,1.72E-08,1.68E-07,
DGAT2,-4.382592216,0.71657062,15.33173092,1.67E-10,1.98E-09,
ZNF112,1.391693202,0.504042313,19.32265618,0.00199588,0.007490658,
CS,-0.857526578,0.237749099,71.51191631,0.000197189,0.000961556,
MRPS24,-1.345845342,0.380692718,29.61318677,0.000147587,0.000739008,
WAPL,1.008389234,0.228930229,87.28342552,6.05E-06,4.01E-05,
VMP1,0.973202694,0.201939709,114.1009218,8.57E-07,6.49E-06,
EIF4B,-0.702462588,0.165746386,157.1375381,1.68E-05,0.000102884,
BICRA,1.295849076,0.592791631,13.96922858,0.01059124,0.031425309,
SPHK2,1.411713019,0.690213046,10.19277557,0.012598115,0.036378738,
RPL18,-1.850670338,0.123554045,345.2124507,2.47E-51,1.50E-49,
ISOC2,-2.167494404,1.033262902,4.670475233,0.004671664,0.015758731,
ZNF275,2.18759023,0.972903417,6.208279472,0.003971563,0.013695045,
GPC1,0.942334569,0.240018002,71.30882091,5.17E-05,0.000288138,
INTS13,-1.136313323,0.364598407,30.85536665,0.000832208,0.003462306,
TM7SF3,-3.379362759,0.289763514,65.57995048,2.47E-32,9.56E-31,
DLX3,-2.426995723,0.491107838,20.78972202,1.19E-07,1.03E-06,
SPA17,-2.240985103,1.268835625,3.45687748,0.008810544,0.026959092,
ATP2C2,-2.355999272,1.048151318,5.650602059,0.003269768,0.01156995,
NGFR,4.087421513,2.125478413,23.90618239,0.000466928,0.002080857,
RFXANK,-1.530809509,0.45944828,19.71312037,0.000250154,0.001188746,
TMEM161A,-1.211991548,0.590389678,12.25176709,0.014841088,0.041746231,
LPAR2,1.736042263,0.405220717,38.08788028,4.95E-06,3.32E-05,
SUGP2,1.397132781,0.244840812,95.10233746,4.58E-09,4.77E-08,
CNN2,-0.813735132,0.224822127,78.58556928,0.000196351,0.000958488,
SBNO2,1.985472238,0.288328621,66.69898175,1.39E-12,1.96E-11,
TAF11,-0.989043812,0.289342481,54.2226268,0.000347936,0.001597843,
AP3D1,0.861819991,0.219590743,107.0080108,5.64E-05,0.000312788,
NTHL1,-2.231204467,1.277330818,3.992219863,0.009137009,0.027810041,
UHRF1BP1,1.184630753,0.451736753,22.62505096,0.003789978,0.013147738,
OAT,-1.22191538,0.199527828,114.9030928,4.12E-10,4.72E-09,
WDR3,-1.688259538,0.581751908,12.1015135,0.000872822,0.003616012,
WDR18,-1.002897795,0.344912654,32.61437571,0.001934309,0.00729928,
MCM10,-2.71408145,1.833604015,2.722279548,0.009175281,0.027895765,
ERBB3,-1.070851427,0.321047244,38.10399474,0.000426546,0.001923641,
KARS,-1.252715022,0.188439432,112.9841341,1.28E-11,1.67E-10,
NDUFB4,-1.035991441,0.225250675,86.37087756,2.27E-06,1.61E-05,
SPEN,0.827852922,0.265488534,73.67039352,0.001215949,0.004859571,
ZC3H15,0.433261074,0.147532004,257.5669256,0.002977646,0.010656514,
COL17A1,-1.96877789,0.109582721,412.4694691,8.30E-73,7.54E-71,
GSTO2,-1.819276663,0.979065643,4.968242467,0.010248448,0.030552729,
ASB1,1.806880055,0.453270711,28.17514304,1.77E-05,0.000107889,
ME1,-1.858177828,0.255298924,71.69817811,7.90E-14,1.25E-12,
MTHFD2,1.008049755,0.362282086,34.75675207,0.002893239,0.010386759,
SLC9A7,1.289782317,0.653881865,10.87983226,0.017157232,0.046996784,
YBX1,-1.211529865,0.10974371,380.0638002,1.08E-28,3.64E-27,
SMARCD1,0.987215822,0.276545336,67.99602601,0.000204167,0.000992077,
NGEF,3.844426988,0.96904151,12.41085484,1.82E-05,0.000110347,
ASPM,-2.052538855,1.285575063,3.561804747,0.01515136,0.042437337,
ELOVL1,-0.400418567,0.124421665,399.0857839,0.001166618,0.004681397,
ISOC1,-1.640076108,0.468869743,19.90612937,0.000121182,0.000619781,
MSANTD3,1.826332136,0.291836121,77.1566794,1.23E-10,1.48E-09,
KIF26A,3.657583987,0.942158795,12.36694564,2.84E-05,0.000166246,
DDX3Y,1.168611053,0.186282704,274.175946,1.78E-10,2.10E-09,
PFKP,0.528205859,0.147106928,251.2113017,0.000278782,0.001310352,
KLF6,1.438330207,0.094048133,602.3688878,2.59E-53,1.63E-51,
CACNB1,1.843559915,0.707033984,10.58988753,0.001970493,0.00741446,
PKM,-0.607381799,0.092811672,479.0703696,4.79E-11,5.94E-10,
TP53BP1,0.805929321,0.296215066,72.71595226,0.004423332,0.015060938,
RHOA,-1.098060464,0.095241915,481.5926966,4.88E-31,1.80E-29,
IARS2,-1.103609645,0.229023326,79.29351496,7.12E-07,5.46E-06,
CBFB,1.165740464,0.325445185,40.41934458,0.000160282,0.000798582,
RASSF1,1.375498834,0.2617638,66.28410502,5.66E-08,5.12E-07,
FGFR3,-1.76833273,0.278968309,61.63829849,5.95E-11,7.32E-10,
COASY,-0.744068976,0.300469188,45.56447089,0.009224556,0.028008553,
MEF2A,0.928218573,0.285360555,53.77973986,0.000679165,0.002904392,
OTUD5,0.559871267,0.209644505,118.3233216,0.006282109,0.020236485,
TFE3,1.270297354,0.175838585,211.8401509,2.19E-13,3.36E-12,
ACSL4,1.163127353,0.299776163,57.39065898,4.42E-05,0.000249672,
INPP5A,1.460571216,0.4285673,35.91280438,0.000226834,0.001087669,
GRIPAP1,0.767335258,0.321705375,45.00786044,0.011750379,0.034334295,
FTSJ1,-0.804972802,0.331249025,34.16153201,0.009822464,0.029448187,
PRR11,-2.042053599,0.699520979,9.24344219,0.00060163,0.002610025,
LAPTM4A,-1.135776235,0.144690047,264.5635986,2.03E-15,3.60E-14,
SRBD1,-1.78710301,0.774916225,7.10697795,0.004051705,0.013922691,
PSME4,0.861209609,0.228301577,102.6815559,9.24E-05,0.000487436,
SIRT2,-0.67447785,0.290210528,56.72019927,0.014881939,0.041844084,
PPP2R5B,0.805783001,0.305889472,47.59116342,0.005598551,0.01836463,
NUP133,-0.971882087,0.396171448,23.27761304,0.007586056,0.023787223,
NUCKS1,-0.898376319,0.231404317,68.88184616,6.35E-05,0.000347555,
DNAJA2,0.495274373,0.207140722,106.8071584,0.014527898,0.041007362,
BCL3,2.000911109,0.510020158,25.68741188,2.08E-05,0.000125685,
HES2,-3.644933451,0.491378474,25.9293943,1.40E-14,2.35E-13,
ATP1B3,-1.143663708,0.16217543,159.0806697,8.50E-13,1.22E-11,
NEDD4,0.81274366,0.364633314,34.94361909,0.016755387,0.046097357,
LRP6,1.485538853,0.389371997,34.71504591,4.69E-05,0.000263934,
SLC44A1,-2.11927854,0.615940257,11.47732673,9.72E-05,0.000509643,
FSTL3,1.251472971,0.176228587,156.8056665,5.42E-13,8.02E-12,
DGCR2,-1.009316481,0.305764852,38.94725852,0.000515116,0.002274752,
MNT,1.110262551,0.471019131,17.51060688,0.008494882,0.026155595,
JMJD6,3.019413246,0.249489333,150.6598308,2.28E-34,9.42E-33,
POLB,-1.399836797,0.626625275,9.697208795,0.007640833,0.023931797,
WIPI1,-1.513848739,0.463432314,19.45897591,0.000319666,0.00148083,
GBA2,1.202689091,0.2683192,70.04877619,3.42E-06,2.36E-05,
ASNS,7.467766974,2.352796852,37.09885228,4.45E-09,4.65E-08,
PABPC1,-1.395569488,0.103223435,454.6111917,4.50E-42,2.26E-40,
TESK2,-1.716306795,0.723211673,10.70623641,0.003879133,0.01341655,
CFAP20,0.657613462,0.258872487,75.06231107,0.008493826,0.026155595,
CSNK2A2,1.033014731,0.233682909,109.0775402,5.48E-06,3.65E-05,
PTPN21,1.573804947,0.401424786,33.3891352,2.74E-05,0.000161189,
EIF2B3,-1.318275952,0.538325771,13.48934263,0.004902877,0.016450206,
ATP2B1,1.208471061,0.289049989,51.46635492,1.32E-05,8.24E-05,
MAP4K4,1.036800614,0.204817731,104.9659463,2.30E-07,1.91E-06,
RPL31,-2.304116307,0.158240686,210.074096,8.49E-49,4.92E-47,
TRIP13,-1.921303468,0.699779039,10.30122582,0.00111945,0.004513118,
ATP6AP1,-1.045449619,0.286416424,51.3506581,0.000136304,0.000689012,
DAZAP1,0.661804073,0.253081754,63.15564854,0.006836599,0.021775148,
FAM50A,0.962404075,0.22851874,89.79022561,1.50E-05,9.26E-05,
CYBRD1,-2.876013381,0.43903977,25.12856201,7.24E-12,9.63E-11,
RDH11,-1.144252114,0.238430137,68.99982726,7.54E-07,5.76E-06,
SPEG,2.082986642,1.022184486,5.876041755,0.007273394,0.022963357,
ALDH3A2,-1.714326801,0.586664672,11.83592754,0.000793859,0.003324107,
AFF4,1.265014586,0.151025979,279.498874,3.78E-17,7.39E-16,
MPP5,0.935522512,0.375304992,29.98919149,0.007331438,0.023104327,
SMC1A,-1.119516728,0.42917116,21.74709066,0.004126311,0.014150868,
HSD17B10,-1.993951464,0.187985864,131.5027517,6.02E-27,1.91E-25,
HMMR,-2.168856182,1.136547386,4.846554955,0.007864228,0.024509112,
P4HA2,1.804912158,0.389485799,35.92234936,9.44E-07,7.10E-06,
ACADVL,0.782090108,0.095304872,774.2535985,1.62E-16,3.04E-15,
STK10,2.858016115,0.439446119,48.21245814,1.75E-11,2.25E-10,
CRMP1,3.457060913,1.002883021,8.472627321,0.000116991,0.000600848,
NDE1,-1.326010015,0.467553421,18.73659047,0.001619785,0.006268379,
PVR,1.706636198,0.234846785,99.47631634,1.09E-13,1.72E-12,
XRCC1,-1.282590157,0.520198894,15.77891783,0.004995305,0.016711567,
SCARB1,-1.170384899,0.539130833,13.48873106,0.012101817,0.035188596,
TP63,-2.599373351,0.371281105,34.26747032,3.69E-13,5.52E-12,
PDE8A,1.032360242,0.495744886,16.2003255,0.018409964,0.049766405,
KDM5A,0.881724703,0.266238377,71.45027034,0.000587031,0.002551505,
FERMT2,2.131154574,0.454531211,28.09873754,5.89E-07,4.60E-06,
DHRS9,-1.18783787,0.302850911,63.39949193,3.97E-05,0.000225609,
IGF2BP2,1.525648097,0.164473556,213.1531484,6.17E-21,1.47E-19,
NSF,-2.189359984,0.44593729,23.60752915,1.63E-07,1.39E-06,
MRPS34,-1.532016375,0.326524475,66.73746215,8.22E-07,6.24E-06,
CLNS1A,-1.402016954,0.390032963,29.21594819,0.000110088,0.000569846,
CA12,-4.760499598,0.456479331,41.24834957,3.00E-26,9.13E-25,
ZNF532,1.808885482,0.359780994,43.35821672,1.34E-07,1.15E-06,
LMAN1,-1.068518332,0.279682081,58.9002278,6.79E-05,0.000368461,
