ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
HLA-E,-1.132489067,0.122205398,332.2269556,9.64E-21,2.27E-19,
RNF39,-0.937999504,0.243860031,92.27561904,7.10E-05,0.000383697,
RACK1,-1.58833695,0.112491431,347.8680458,9.08E-46,4.95E-44,
HLA-G,0.80254469,0.323701031,85.01981205,0.008836708,0.027015192,
HLA-F,1.879029977,0.447753303,57.31692401,7.82E-06,5.08E-05,
AKT1S1,0.790086819,0.206405011,256.3606354,9.08E-05,0.000480316,
GABBR1,1.988367167,0.356987031,43.78489461,6.12E-09,6.32E-08,
TRIM27,1.360869388,0.450009096,20.68610872,0.000905392,0.003734134,
ATXN2,1.292810887,0.442422269,27.81451172,0.001400727,0.005514988,
ZBTB48,1.129577131,0.510863902,20.88259867,0.012127084,0.035247213,
IGFL2,-3.93334724,0.433751091,38.4853746,1.66E-20,3.85E-19,
ZNF155,1.676835642,0.443750531,30.13410904,4.52E-05,0.000255374,
UQCC3,-1.408906682,0.539589286,14.17953267,0.00282582,0.010181804,
ZNF783,2.054241725,0.576868466,17.65137415,7.91E-05,0.000423238,
SLFN12L,2.858618188,3.209383694,2.135273071,0.012008445,0.03494655,
LGALS7,-2.499946381,0.178409881,218.2616901,1.94E-45,1.05E-43,
FAM71F2,2.165402001,1.127447336,9.76986935,0.012823827,0.036930053,
PSENEN,-1.096952732,0.280319494,63.99311968,4.50E-05,0.000254264,
ZBTB10,3.683826046,0.903471401,17.79982545,1.53E-05,9.44E-05,
LGR4,-1.947857082,0.49844517,17.1103165,1.88E-05,0.000113758,
E2F4,1.465992643,0.214061229,130.5762383,2.72E-12,3.75E-11,
SAP25,1.847387326,0.804942428,17.31157078,0.005479558,0.018042926,
ADGRG1,-2.185755019,0.223670577,99.41767862,2.83E-23,7.57E-22,
MT1H,-1.769156201,0.212905085,188.2272358,2.59E-17,5.12E-16,
MT1M,-2.056889318,1.316750479,7.89302028,0.011961071,0.034827187,
SAMD9,-1.630094543,0.413545583,25.82455624,2.17E-05,0.000131009,
KRT6A,-5.351796356,0.077146977,9973.723429,0,0,
CALML3-AS1,-2.111413246,0.857544824,6.481152103,0.002085315,0.007779765,
RGL3,4.085588442,2.568193784,3.202695051,0.00228394,0.008434137,
TMSB4X,-1.500820383,0.091634024,674.1264989,9.35E-61,6.90E-59,
