initial_alias,converted_alias,name,description,namespace,,,,,From,To,Species,Gene Name,,,,,,4963,OFC1,Homo sapiens,orofacial cleft 1(OFC1),,,,,,,,,,,,fibro down,,,,,,,,,,mono up,,,,,,,,,mono down,,,
7804,LRP8,LRP8,LDL receptor related protein 8 [Source:HGNC Symbol;Acc:HGNC:6700],ENTREZGENE_ACC,,,,,32844,CG15042,Drosophila melanogaster,uncharacterized protein(CG15042),,,,,,23466,CBX6,Homo sapiens,chromobox 6(CBX6),,,,,,,,,,,6444,SGCD,Homo sapiens,sarcoglycan delta(SGCD),,,,,,,,25987,TSKU,Homo sapiens,"tsukushi, small leucine rich proteoglycan(TSKU)",,,,,,,,,
26045,LRRTM2,LRRTM2,leucine rich repeat transmembrane neuronal 2 [Source:HGNC Symbol;Acc:HGNC:19409],ENTREZGENE_ACC,,,,,36187,Or47a,Drosophila melanogaster,Odorant receptor 47a(Or47a),,,,,,23467,NPTXR,Homo sapiens,neuronal pentraxin receptor(NPTXR),,,,,,,,,,,10580,SORBS1,Homo sapiens,sorbin and SH3 domain containing 1(SORBS1),,,,,,,,6192,RPS4Y1,Homo sapiens,ribosomal protein S4 Y-linked 1(RPS4Y1),,,,,,,,,
8932,MBD2,MBD2,methyl-CpG binding domain protein 2 [Source:HGNC Symbol;Acc:HGNC:6917],ENTREZGENE_ACC,,,,,38591,CG17030,Drosophila melanogaster,uncharacterized protein(CG17030),,,,,,23468,CBX5,Homo sapiens,chromobox 5(CBX5),,,,,,,,,,,2760,GM2A,Homo sapiens,ganglioside GM2 activator(GM2A),,,,,,,,25989,ULK3,Homo sapiens,unc-51 like kinase 3(ULK3),,,,,,,,,
8930,MBD4,MBD4,"methyl-CpG binding domain 4, DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:6919]",ENTREZGENE_ACC,,,,,40432,CG7148,Drosophila melanogaster,uncharacterized protein(CG7148),,,,,,23469,PHF3,Homo sapiens,PHD finger protein 3(PHF3),,,,,,,,,,,3178,HNRNPA1,Homo sapiens,heterogeneous nuclear ribonucleoprotein A1(HNRNPA1),,,,,,,,25988,HINFP,Homo sapiens,histone H4 transcription factor(HINFP),,,,,,,,,
4161,MC5R,MC5R,melanocortin 5 receptor [Source:HGNC Symbol;Acc:HGNC:6933],ENTREZGENE_ACC,,,,,40431,eIF2A,Drosophila melanogaster,eukaryotic translation initiation factor 2A(eIF2A),,,,,,11247,NXPH4,Homo sapiens,neurexophilin 4(NXPH4),,,,,,,,,,,3298,HSF2,Homo sapiens,heat shock transcription factor 2(HSF2),,,,,,,,23327,NEDD4L,Homo sapiens,NEDD4 like E3 ubiquitin protein ligase(NEDD4L),,,,,,,,,
8888,MCM3AP,MCM3AP,minichromosome maintenance complex component 3 associated protein [Source:HGNC Symbol;Acc:HGNC:6946],ENTREZGENE_ACC,,,,,40430,CG7407,Drosophila melanogaster,uncharacterized protein(CG7407),,,,,,6185,RPN2,Homo sapiens,ribophorin II(RPN2),,,,,,,,,,,9392,TGFBRAP1,Homo sapiens,transforming growth factor beta receptor associated protein 1(TGFBRAP1),,,,,,,,26030,PLEKHG3,Homo sapiens,pleckstrin homology and RhoGEF domain containing G3(PLEKHG3),,,,,,,,,
11320,MGAT4A,MGAT4A,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:HGNC Symbol;Acc:HGNC:7047]",ENTREZGENE_ACC,,,,,31961,CG15306,Drosophila melanogaster,uncharacterized protein(CG15306),,,,,,6188,RPS3,Homo sapiens,ribosomal protein S3(RPS3),,,,,,,,,,,3174,HNF4G,Homo sapiens,hepatocyte nuclear factor 4 gamma(HNF4G),,,,,,,,8929,PHOX2B,Homo sapiens,paired like homeobox 2B(PHOX2B),,,,,,,,,
8028,MLLT10,MLLT10,MLLT10 histone lysine methyltransferase DOT1L cofactor [Source:HGNC Symbol;Acc:HGNC:16063],ENTREZGENE_ACC,,,,,38357,FMRFaR,Drosophila melanogaster,FMRFamide Receptor(FMRFaR),,,,,,6187,RPS2,Homo sapiens,ribosomal protein S2(RPS2),,,,,,,,,,,682,BSG,Homo sapiens,basigin (Ok blood group)(BSG),,,,,,,,28691,TRAV2,Homo sapiens,T cell receptor alpha variable 2(TRAV2),,,,,,,,,
23531,MMD,MMD,monocyte to macrophage differentiation associated [Source:HGNC Symbol;Acc:HGNC:7153],ENTREZGENE_ACC,,,,,38358,CG32487,Drosophila melanogaster,uncharacterized protein(CG32487),,,,,,6189,RPS3A,Homo sapiens,ribosomal protein S3A(RPS3A),,,,,,,,,,,2876,GPX1,Homo sapiens,glutathione peroxidase 1(GPX1),,,,,,,,26032,SUSD5,Homo sapiens,sushi domain containing 5(SUSD5),,,,,,,,,
4528,MTIF2,MTIF2,mitochondrial translational initiation factor 2 [Source:HGNC Symbol;Acc:HGNC:7441],ENTREZGENE_ACC,,,,,38586,Dnah3,Drosophila melanogaster,"dynein, axonemal, heavy chain 3(Dnah3)",,,,,,8126,MRST,Homo sapiens,"Mental retardation, severe, with spasticity and tapetoretinal(MRST)",,,,,,,,,,,563,AZGP1,Homo sapiens,"alpha-2-glycoprotein 1, zinc-binding(AZGP1)",,,,,,,,1731,SEPTIN1,Homo sapiens,septin 1(SEPTIN1),,,,,,,,,
9788,MTSS1,MTSS1,MTSS I-BAR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20443],ENTREZGENE_ACC,,,,,38587,CG13705,Drosophila melanogaster,uncharacterized protein(CG13705),,,,,,9457,FHL5,Homo sapiens,four and a half LIM domains 5(FHL5),,,,,,,,,,,1543,CYP1A1,Homo sapiens,cytochrome P450 family 1 subfamily A member 1(CYP1A1),,,,,,,,26031,OSBPL3,Homo sapiens,oxysterol binding protein like 3(OSBPL3),,,,,,,,,
4430,MYO1B,MYO1B,myosin IB [Source:HGNC Symbol;Acc:HGNC:7596],ENTREZGENE_ACC,,,,,40425,CG14564,Drosophila melanogaster,uncharacterized protein(CG14564),,,,,,7270,TTF1,Homo sapiens,transcription termination factor 1(TTF1),,,,,,,,,,,687,KLF9,Homo sapiens,KLF transcription factor 9(KLF9),,,,,,,,1730,DIAPH2,Homo sapiens,diaphanous related formin 2(DIAPH2),,,,,,,,,
8031,NCOA4,NCOA4,nuclear receptor coactivator 4 [Source:HGNC Symbol;Acc:HGNC:7671],ENTREZGENE_ACC,,,,,40429,CycH,Drosophila melanogaster,Cyclin H(CycH),,,,,,5094,PCBP2,Homo sapiens,poly(rC) binding protein 2(PCBP2),,,,,,,,,,,8614,STC2,Homo sapiens,stanniocalcin 2(STC2),,,,,,,,8927,BSN,Homo sapiens,bassoon presynaptic cytomatrix protein(BSN),,,,,,,,,
4541,ND6,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462],ENTREZGENE_ACC,,,,,40428,eg,Drosophila melanogaster,eagle(eg),,,,,,7272,TTK,Homo sapiens,TTK protein kinase(TTK),,,,,,,,,,,3846,KRTAP5-9,Homo sapiens,keratin associated protein 5-9(KRTAP5-9),,,,,,,,8928,FOXH1,Homo sapiens,forkhead box H1(FOXH1),,,,,,,,,
4739,NEDD9,NEDD9,"neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]",ENTREZGENE_ACC,,,,,40427,CG7370,Drosophila melanogaster,uncharacterized protein(CG7370),,,,,,23471,TRAM1,Homo sapiens,translocation associated membrane protein 1(TRAM1),,,,,,,,,,,7541,ZBTB14,Homo sapiens,zinc finger and BTB domain containing 14(ZBTB14),,,,,,,,28690,TRAV3,Homo sapiens,T cell receptor alpha variable 3(TRAV3),,,,,,,,,
4747,NEFL,NEFL,neurofilament light chain [Source:HGNC Symbol;Acc:HGNC:7739],ENTREZGENE_ACC,,,,,38589,Rh50,Drosophila melanogaster,Rh50(Rh50),,,,,,1729,DIAPH1,Homo sapiens,diaphanous related formin 1(DIAPH1),,,,,,,,,,,339,APOBEC1,Homo sapiens,apolipoprotein B mRNA editing enzyme catalytic subunit 1(APOBEC1),,,,,,,,8925,HERC1,Homo sapiens,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1(HERC1),,,,,,,,,
4741,NEFM,NEFM,neurofilament medium chain [Source:HGNC Symbol;Acc:HGNC:7734],ENTREZGENE_ACC,,,,,36398,CG13148,Drosophila melanogaster,uncharacterized protein(CG13148),,,,,,1728,NQO1,Homo sapiens,NAD(P)H quinone dehydrogenase 1(NQO1),,,,,,,,,,,7539,ZFP37,Homo sapiens,ZFP37 zinc finger protein(ZFP37),,,,,,,,8926,SNURF,Homo sapiens,SNRPN upstream open reading frame(SNURF),,,,,,,,,
4745,NELL1,NELL1,neural EGFL like 1 [Source:HGNC Symbol;Acc:HGNC:7750],ENTREZGENE_ACC,,,,,36150,nclb,Drosophila melanogaster,no child left behind(nclb),,,,,,11258,DCTN3,Homo sapiens,dynactin subunit 3(DCTN3),,,,,,,,,,,7792,CCV,Homo sapiens,"cataract, congenital, Volkmann type(CCV)",,,,,,,,8028,MLLT10,Homo sapiens,MLLT10 histone lysine methyltransferase DOT1L cofactor(MLLT10),,,,,,,,,
4761,NEUROD2,NEUROD2,neuronal differentiation 2 [Source:HGNC Symbol;Acc:HGNC:7763],ENTREZGENE_ACC,,,,,36134,CG12935,Drosophila melanogaster,uncharacterized protein(CG12935),,,,,,1727,CYB5R3,Homo sapiens,cytochrome b5 reductase 3(CYB5R3),,,,,,,,,,,7430,EZR,Homo sapiens,ezrin(EZR),,,,,,,,8029,CUBN,Homo sapiens,cubilin(CUBN),,,,,,,,,
10725,NFAT5,NFAT5,nuclear factor of activated T cells 5 [Source:HGNC Symbol;Acc:HGNC:7774],ENTREZGENE_ACC,,,,,34987,mtgo,Drosophila melanogaster,miles to go(mtgo),,,,,,1725,DHPS,Homo sapiens,deoxyhypusine synthase(DHPS),,,,,,,,,,,7435,VIS1,Homo sapiens,viral integration site 1(VIS1),,,,,,,,8026,DGS2,Homo sapiens,DiGeorge syndrome/velocardiofacial syndrome complex 2(DGS2),,,,,,,,,
2631,NIPSNAP2,NIPSNAP2,nipsnap homolog 2 [Source:HGNC Symbol;Acc:HGNC:4179],ENTREZGENE_ACC,,,,,34986,CG5968,Drosophila melanogaster,uncharacterized protein(CG5968),,,,,,11259,FILIP1L,Homo sapiens,filamin A interacting protein 1 like(FILIP1L),,,,,,,,,,,9731,CEP104,Homo sapiens,centrosomal protein 104(CEP104),,,,,,,,3491,CCN1,Homo sapiens,cellular communication network factor 1(CCN1),,,,,,,,,
39487,None,None,None,,,,,,32325,CG11162,Drosophila melanogaster,uncharacterized protein(CG11162),,,,,,10807,ENTR1,Homo sapiens,endosome associated trafficking regulator 1(ENTR1),,,,,,,,,,,9732,DOCK4,Homo sapiens,dedicator of cytokinesis 4(DOCK4),,,,,,,,8932,MBD2,Homo sapiens,methyl-CpG binding domain protein 2(MBD2),,,,,,,,,
39527,None,None,None,,,,,,34985,CG5953,Drosophila melanogaster,uncharacterized protein(CG5953),,,,,,6191,RPS4X,Homo sapiens,ribosomal protein S4 X-linked(RPS4X),,,,,,,,,,,342,APOC1P1,Homo sapiens,apolipoprotein C1 pseudogene 1(APOC1P1),,,,,,,,8031,NCOA4,Homo sapiens,nuclear receptor coactivator 4(NCOA4),,,,,,,,,
14326,None,None,None,,,,,,32328,Nadsyn,Drosophila melanogaster,NAD synthetase(Nadsyn),,,,,,27005,USP21,Homo sapiens,ubiquitin specific peptidase 21(USP21),,,,,,,,,,,3744,KCNA10,Homo sapiens,potassium voltage-gated channel subfamily A member 10(KCNA10),,,,,,,,8030,CCDC6,Homo sapiens,coiled-coil domain containing 6(CCDC6),,,,,,,,,
14286,None,None,None,,,,,,32329,Nna1,Drosophila melanogaster,Nna1 carboxypeptidase(Nna1),,,,,,8130,MCOPCT1,Homo sapiens,"cataract, congenital, with microphthalmia(MCOPCT1)",,,,,,,,,,,14211,Smc2,Mus musculus,structural maintenance of chromosomes 2(Smc2),,,,,,,,5330,PLCB2,Homo sapiens,phospholipase C beta 2(PLCB2),,,,,,,,,
35927,None,None,None,,,,,,32326,CG12177,Drosophila melanogaster,uncharacterized protein(CG12177),,,,,,6192,RPS4Y1,Homo sapiens,ribosomal protein S4 Y-linked 1(RPS4Y1),,,,,,,,,,,11984,Atp6v0c,Mus musculus,"ATPase, H+ transporting, lysosomal V0 subunit C(Atp6v0c)",,,,,,,,7991,TUSC3,Homo sapiens,tumor suppressor candidate 3(TUSC3),,,,,,,,,
31387,None,None,None,,,,,,34988,CG4631,Drosophila melanogaster,uncharacterized protein(CG4631),,,,,,1730,DIAPH2,Homo sapiens,diaphanous related formin 2(DIAPH2),,,,,,,,,,,17843,Mup4,Mus musculus,major urinary protein 4(Mup4),,,,,,,,26027,ACOT11,Homo sapiens,acyl-CoA thioesterase 11(ACOT11),,,,,,,,,
27830,None,None,None,,,,,,32327,CG11158,Drosophila melanogaster,uncharacterized protein(CG11158),,,,,,3912,LAMB1,Homo sapiens,laminin subunit beta 1(LAMB1),,,,,,,,,,,18704,Pik3c2a,Mus musculus,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha(Pik3c2a),,,,,,,,28686,TRAV7,Homo sapiens,T cell receptor alpha variable 7(TRAV7),,,,,,,,,
27790,None,None,None,,,,,,36913,Paip1,Drosophila melanogaster,Poly(A) binding protein interacting protein 1(Paip1),,,,,,9478,CABP1,Homo sapiens,calcium binding protein 1(CABP1),,,,,,,,,,,18707,Pik3cd,Mus musculus,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta(Pik3cd)",,,,,,,,785,CACNB4,Homo sapiens,calcium voltage-gated channel auxiliary subunit beta 4(CACNB4),,,,,,,,,
34126,None,None,None,,,,,,33644,l(2)k05819,Drosophila melanogaster,lethal (2) k05819(l(2)k05819),,,,,,10828,NPM1P19,Homo sapiens,nucleophosmin 1 pseudogene 19(NPM1P19),,,,,,,,,,,11512,Adcy6,Mus musculus,adenylate cyclase 6(Adcy6),,,,,,,,26025,PCDHGA12,Homo sapiens,"protocadherin gamma subfamily A, 12(PCDHGA12)",,,,,,,,,
18830,None,None,None,,,,,,32552,Lrp4,Drosophila melanogaster,LDL receptor related protein 4(Lrp4),,,,,,10827,FAM114A2,Homo sapiens,family with sequence similarity 114 member A2(FAM114A2),,,,,,,,,,,14228,Fkbp4,Mus musculus,FK506 binding protein 4(Fkbp4),,,,,,,,28685,TRAV8-1,Homo sapiens,T cell receptor alpha variable 8-1(TRAV8-1),,,,,,,,,
25130,None,None,None,,,,,,33648,morgue,Drosophila melanogaster,"modifier of rpr and grim, ubiquitously expressed(morgue)",,,,,,9002,F2RL3,Homo sapiens,F2R like thrombin or trypsin receptor 3(F2RL3),,,,,,,,,,,20555,Slfn1,Mus musculus,schlafen 1(Slfn1),,,,,,,,788,SLC25A20,Homo sapiens,solute carrier family 25 member 20(SLC25A20),,,,,,,,,
13390,None,None,None,,,,,,40392,CG7173,Drosophila melanogaster,uncharacterized protein(CG7173),,,,,,9497,SLC4A7,Homo sapiens,solute carrier family 4 member 7(SLC4A7),,,,,,,,,,,21408,Zfp354a,Mus musculus,zinc finger protein 354A(Zfp354a),,,,,,,,789,SLC25A20P1,Homo sapiens,solute carrier family 25 member 20 pseudogene 1(SLC25A20P1),,,,,,,,,
25132,None,None,None,,,,,,40391,Wnk,Drosophila melanogaster,Wnk kinase(Wnk),,,,,,7088,TLE1,Homo sapiens,"TLE family member 1, transcriptional corepressor(TLE1)",,,,,,,,,,,17700,Mstn,Mus musculus,myostatin(Mstn),,,,,,,,5325,PLAGL1,Homo sapiens,PLAG1 like zinc finger 1(PLAGL1),,,,,,,,,
27792,None,None,None,,,,,,40390,COX8,Drosophila melanogaster,Cytochrome c oxidase subunit 8(COX8),,,,,,8178,ELL,Homo sapiens,elongation factor for RNA polymerase II(ELL),,,,,,,,,,,12380,Cast,Mus musculus,calpastatin(Cast),,,,,,,,5327,PLAT,Homo sapiens,"plasminogen activator, tissue type(PLAT)",,,,,,,,,
17892,None,None,None,,,,,,40388,Rpn10,Drosophila melanogaster,Regulatory particle non-ATPase 10(Rpn10),,,,,,7087,ICAM5,Homo sapiens,intercellular adhesion molecule 5(ICAM5),,,,,,,,,,,21412,Tcf21,Mus musculus,transcription factor 21(Tcf21),,,,,,,,7988,ZNF212,Homo sapiens,zinc finger protein 212(ZNF212),,,,,,,,,
17932,None,None,None,,,,,,39158,RasGAP1,Drosophila melanogaster,Ras GTPase activating protein 1(RasGAP1),,,,,,7089,TLE2,Homo sapiens,"TLE family member 2, transcriptional corepressor(TLE2)",,,,,,,,,,,21410,Hnf1b,Mus musculus,HNF1 homeobox B(Hnf1b),,,,,,,,5328,PLAU,Homo sapiens,"plasminogen activator, urokinase(PLAU)",,,,,,,,,
32327,None,None,None,,,,,,40389,VhaM9.7-b,Drosophila melanogaster,Vacuolar H[+] ATPase M9.7 subunit b(VhaM9.7-b),,,,,,7086,TKT,Homo sapiens,transketolase(TKT),,,,,,,,,,,20321,Frrs1,Mus musculus,ferric-chelate reductase 1(Frrs1),,,,,,,,7089,TLE2,Homo sapiens,"TLE family member 2, transcriptional corepressor(TLE2)",,,,,,,,,
39529,None,None,None,,,,,,31430,CG32767,Drosophila melanogaster,uncharacterized protein(CG32767),,,,,,7085,TKCR,Homo sapiens,"torticollis, keloids, cryptorchidism and renal dysplasia(TKCR)",,,,,,,,,,,14200,Fhl2,Mus musculus,four and a half LIM domains 2(Fhl2),,,,,,,,10690,FUT9,Homo sapiens,fucosyltransferase 9(FUT9),,,,,,,,,
25089,None,None,None,,,,,,38299,CG13801,Drosophila melanogaster,uncharacterized protein(CG13801),,,,,,2625,GATA3,Homo sapiens,GATA binding protein 3(GATA3),,,,,,,,,,,22065,Trpc3,Mus musculus,"transient receptor potential cation channel, subfamily C, member 3(Trpc3)",,,,,,,,7086,TKT,Homo sapiens,transketolase(TKT),,,,,,,,,
25092,None,None,None,,,,,,31660,Cph,Drosophila melanogaster,Chronophage(Cph),,,,,,27443,CECR2,Homo sapiens,CECR2 histone acetyl-lysine reader(CECR2),,,,,,,,,,,14201,Fhl3,Mus musculus,four and a half LIM domains 3(Fhl3),,,,,,,,790,CAD,Homo sapiens,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase(CAD)",,,,,,,,,
39489,None,None,None,,,,,,31429,ovo,Drosophila melanogaster,ovo(ovo),,,,,,2629,GBA1,Homo sapiens,glucosylceramidase beta 1(GBA1),,,,,,,,,,,14202,Fhl4,Mus musculus,four and a half LIM domains 4(Fhl4),,,,,,,,7085,TKCR,Homo sapiens,"torticollis, keloids, cryptorchidism and renal dysplasia(TKCR)",,,,,,,,,
25090,None,None,None,,,,,,31425,Ptp4E,Drosophila melanogaster,Protein tyrosine phosphatase 4E(Ptp4E),,,,,,2628,GATM,Homo sapiens,glycine amidinotransferase(GATM),,,,,,,,,,,18698,pid,Mus musculus,preimplantation development(pid),,,,,,,,2625,GATA3,Homo sapiens,GATA binding protein 3(GATA3),,,,,,,,,
25129,None,None,None,,,,,,31427,CG12680,Drosophila melanogaster,uncharacterized protein(CG12680),,,,,,2627,GATA6,Homo sapiens,GATA binding protein 6(GATA6),,,,,,,,,,,17240,Mdfi,Mus musculus,MyoD family inhibitor(Mdfi),,,,,,,,10692,RRH,Homo sapiens,retinal pigment epithelium-derived rhodopsin homolog(RRH),,,,,,,,,
34086,None,None,None,,,,,,31426,CG15468,Drosophila melanogaster,uncharacterized protein(CG15468),,,,,,2626,GATA4,Homo sapiens,GATA binding protein 4(GATA4),,,,,,,,,,,20534,Slc4a1ap,Mus musculus,"solute carrier family 4 (anion exchanger), member 1, adaptor protein(Slc4a1ap)",,,,,,,,2629,GBA1,Homo sapiens,glucosylceramidase beta 1(GBA1),,,,,,,,,
16090,None,None,None,,,,,,42543,Fancm,Drosophila melanogaster,Fanconi anemia group M helicase(Fancm),,,,,,7091,TLE4,Homo sapiens,"TLE family member 4, transcriptional corepressor(TLE4)",,,,,,,,,,,17248,Mdm4,Mus musculus,transformed mouse 3T3 cell double minute 4(Mdm4),,,,,,,,2628,GATM,Homo sapiens,glycine amidinotransferase(GATM),,,,,,,,,
13430,None,None,None,,,,,,42308,CG5250,Drosophila melanogaster,uncharacterized protein(CG5250),,,,,,7090,TLE3,Homo sapiens,"TLE family member 3, transcriptional corepressor(TLE3)",,,,,,,,,,,20544,Slc9a1,Mus musculus,"solute carrier family 9 (sodium/hydrogen exchanger), member 1(Slc9a1)",,,,,,,,2626,GATA4,Homo sapiens,GATA binding protein 4(GATA4),,,,,,,,,
27832,None,None,None,,,,,,42547,slou,Drosophila melanogaster,slouch(slou),,,,,,26127,FGFR1OP2,Homo sapiens,FGFR1 oncogene partner 2(FGFR1OP2),,,,,,,,,,,27973,Vkorc1,Mus musculus,"vitamin K epoxide reductase complex, subunit 1(Vkorc1)",,,,,,,,9830,TRIM14,Homo sapiens,tripartite motif containing 14(TRIM14),,,,,,,,,
18790,None,None,None,,,,,,32501,CG15646,Drosophila melanogaster,uncharacterized protein(CG15646),,,,,,7092,TLL1,Homo sapiens,tolloid like 1(TLL1),,,,,,,,,,,13334,Del(Y)B10.BR-Y<del>/Ms,Mus musculus,"deletion, Chr Y, B10.BR-Y<del>, Mishima(Del(Y)B10.BR-Y<del>/Ms)",,,,,,,,4387,MRX23,Homo sapiens,"mental retardation, X-linked 23(MRX23)",,,,,,,,,
32287,None,None,None,,,,,,31659,fz4,Drosophila melanogaster,frizzled 4(fz4),,,,,,2632,GBE1,Homo sapiens,"1,4-alpha-glucan branching enzyme 1(GBE1)",,,,,,,,,,,28140,DYzEms11,Mus musculus,"DNA segment, Chr Y, repetitive sequence, Elizabeth M. Simpson 11(DYzEms11)",,,,,,,,9831,ZNF623,Homo sapiens,zinc finger protein 623(ZNF623),,,,,,,,,
19727,None,None,None,,,,,,31656,CG4615,Drosophila melanogaster,uncharacterized protein(CG4615),,,,,,2631,NIPSNAP2,Homo sapiens,nipsnap homolog 2(NIPSNAP2),,,,,,,,,,,20510,Slc1a1,Mus musculus,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1(Slc1a1)",,,,,,,,2632,GBE1,Homo sapiens,"1,4-alpha-glucan branching enzyme 1(GBE1)",,,,,,,,,
34127,None,None,None,,,,,,36093,CG42733,Drosophila melanogaster,uncharacterized protein(CG42733),,,,,,2630,GBA1LP,Homo sapiens,"glucosylceramidase beta 1 like, pseudogene(GBA1LP)",,,,,,,,,,,14199,Fhl1,Mus musculus,four and a half LIM domains 1(Fhl1),,,,,,,,2631,NIPSNAP2,Homo sapiens,nipsnap homolog 2(NIPSNAP2),,,,,,,,,
29626,None,None,None,,,,,,36092,CG12902,Drosophila melanogaster,uncharacterized protein(CG12902),,,,,,5917,RARS1,Homo sapiens,arginyl-tRNA synthetase 1(RARS1),,,,,,,,,,,20512,Slc1a3,Mus musculus,"solute carrier family 1 (glial high affinity glutamate transporter), member 3(Slc1a3)",,,,,,,,2630,GBA1LP,Homo sapiens,"glucosylceramidase beta 1 like, pseudogene(GBA1LP)",,,,,,,,,
15187,None,None,None,,,,,,36095,Ir47a,Drosophila melanogaster,Ionotropic receptor 47a(Ir47a),,,,,,3750,KCND1,Homo sapiens,potassium voltage-gated channel subfamily D member 1(KCND1),,,,,,,,,,,13309,Del(4)16H,Mus musculus,"deletion, Chr 4, Harwell 16(Del(4)16H)",,,,,,,,9825,SPATA2,Homo sapiens,spermatogenesis associated 2(SPATA2),,,,,,,,,
1689,None,None,None,,,,,,36094,Gr47a,Drosophila melanogaster,Gustatory receptor 47a(Gr47a),,,,,,3749,KCNC4,Homo sapiens,potassium voltage-gated channel subfamily C member 4(KCNC4),,,,,,,,,,,13305,Del(3)54H,Mus musculus,"deletion, Chr 3, Harwell 54(Del(3)54H)",,,,,,,,9829,DNAJC6,Homo sapiens,DnaJ heat shock protein family (Hsp40) member C6(DNAJC6),,,,,,,,,
29627,None,None,None,,,,,,31075,DAAM,Drosophila melanogaster,Dishevelled Associated Activator of Morphogenesis(DAAM),,,,,,26341,OR5H1,Homo sapiens,olfactory receptor family 5 subfamily H member 1(OR5H1),,,,,,,,,,,18679,Phka1,Mus musculus,phosphorylase kinase alpha 1(Phka1),,,,,,,,9827,RGP1,Homo sapiens,"RGP1 homolog, RAB6A GEF complex partner 1(RGP1)",,,,,,,,,
4429,None,None,None,,,,,,36992,Rab4,Drosophila melanogaster,Rab4(Rab4),,,,,,3982,LIM2,Homo sapiens,lens intrinsic membrane protein 2(LIM2),,,,,,,,,,,13306,Del(3)61H,Mus musculus,"deletion, Chr 3, Harwell 61(Del(3)61H)",,,,,,,,9828,ARHGEF17,Homo sapiens,Rho guanine nucleotide exchange factor 17(ARHGEF17),,,,,,,,,
19687,None,None,None,,,,,,42192,Vps39,Drosophila melanogaster,Vacuolar protein sorting 39(Vps39),,,,,,5920,PLAAT4,Homo sapiens,phospholipase A and acyltransferase 4(PLAAT4),,,,,,,,,,,13303,Del(3)1Rn,Mus musculus,"deletion, Chr 3, Rinchik 1(Del(3)1Rn)",,,,,,,,8886,DDX18,Homo sapiens,DEAD-box helicase 18(DDX18),,,,,,,,,
27789,None,None,None,,,,,,36993,Dcr-2,Drosophila melanogaster,Dicer-2(Dcr-2),,,,,,9069,CLDN12,Homo sapiens,claudin 12(CLDN12),,,,,,,,,,,20408,Sh3gl3,Mus musculus,SH3-domain GRB2-like 3(Sh3gl3),,,,,,,,11625,Ahsg,Mus musculus,alpha-2-HS-glycoprotein(Ahsg),,,,,,,,,
35027,None,None,None,,,,,,36995,CG14483,Drosophila melanogaster,uncharacterized protein(CG14483),,,,,,9068,ANGPTL1,Homo sapiens,angiopoietin like 1(ANGPTL1),,,,,,,,,,,13796,Emx1,Mus musculus,empty spiracles homeobox 1(Emx1),,,,,,,,11629,Aif1,Mus musculus,allograft inflammatory factor 1(Aif1),,,,,,,,,
3531,None,None,None,,,,,,36514,fand,Drosophila melanogaster,fandango(fand),,,,,,4850,CNOT4,Homo sapiens,CCR4-NOT transcription complex subunit 4(CNOT4),,,,,,,,,,,13312,Del(5)25H,Mus musculus,"deletion, Chr 5, Harwell 25(Del(5)25H)",,,,,,,,11628,Aicda,Mus musculus,activation-induced cytidine deaminase(Aicda),,,,,,,,,
792,None,None,None,,,,,,42191,CG18599,Drosophila melanogaster,uncharacterized protein(CG18599),,,,,,10539,GLRX3,Homo sapiens,glutaredoxin 3(GLRX3),,,,,,,,,,,11498,Adam4,Mus musculus,a disintegrin and metallopeptidase domain 4(Adam4),,,,,,,,11864,Arnt2,Mus musculus,aryl hydrocarbon receptor nuclear translocator 2(Arnt2),,,,,,,,,
2586,None,None,None,,,,,,42186,14-3-3epsilon,Drosophila melanogaster,14-3-3epsilon(14-3-3epsilon),,,,,,10533,ATG7,Homo sapiens,autophagy related 7(ATG7),,,,,,,,,,,11497,Adam3,Mus musculus,ADAM metallopeptidase domain 3(Adam3),,,,,,,,20587,Smarcb1,Mus musculus,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1(Smarcb1)",,,,,,,,,
7131,None,None,None,,,,,,42187,CG7156,Drosophila melanogaster,uncharacterized protein(CG7156),,,,,,3530,IGKV1OR22-1,Homo sapiens,immunoglobulin kappa variable 1/OR22-1 (pseudogene)(IGKV1OR22-1),,,,,,,,,,,13674,Eif4a-ps4,Mus musculus,"eukaryotic translation initiation factor 4A, pseudogene 4(Eif4a-ps4)",,,,,,,,23853,Def6,Mus musculus,differentially expressed in FDCP 6(Def6),,,,,,,,,
