baseMean,log2FoldChange,lfcSE,pvalue,padj,diffexpressed,delabel
7.050490151,-0.100097841,0.314085385,0.638096676,0.800424965,NO,NA
4.045716438,-0.495761918,0.577564201,0.068775844,0.225369703,NO,NA
20.81550125,-0.058434069,0.4069919,0.558830089,0.747813354,NO,NA
0.692346359,0.055106053,0.415417895,0.550406151,NA,NO,NA
36.94504699,0.239930883,0.406696568,0.269101301,0.493853763,NO,NA
85.96061132,0.107682137,0.353235933,0.553135506,0.742777097,NO,NA
7.871305916,0.046544191,0.423545015,0.260553036,0.485782267,NO,NA
34.66988858,-0.013356524,0.305863678,0.941912444,0.972397454,NO,NA
7.662394159,0.229962153,0.348819653,0.300557626,0.525630239,NO,NA
25.98823357,-0.207813641,0.273300414,0.331541226,0.55638344,NO,NA
27.04494723,0.145014456,0.373445836,0.475513989,0.683156985,NO,NA
0.666967865,0.030764046,0.416456374,0.751878256,NA,NO,NA
6.590569696,-0.028303674,0.382503553,0.839230309,0.920529332,NO,NA
103.017109,0.118709029,0.198577155,0.489147,0.693223284,NO,NA
21.34013742,0.487540534,0.564399698,0.071880425,0.231198277,NO,NA
118.4097313,-0.097550345,0.274996342,0.615870399,0.786020599,NO,NA
0.85992493,0.144766177,0.451372193,0.137084563,NA,NO,NA
21.70622841,0.042532813,0.423556934,0.012132868,0.084761564,NO,NA
71.46134254,-0.258002168,0.361398975,0.225567718,0.447496409,NO,NA
10.1204789,-0.110627014,0.410714466,0.388811375,0.610137469,NO,NA
0.767680963,-0.111018051,0.424031098,0.313451615,NA,NO,NA
1.894910805,0.105836372,0.406441676,0.459948337,NA,NO,NA
26.25342525,0.246139551,0.474394605,0.082734987,0.252077543,NO,NA
10.37169129,0.126957886,0.445916751,0.003033567,0.037498096,UP,NA
11.62768083,0.163951127,0.418818649,0.337050644,0.562498414,NO,NA
0.442133823,-0.000744348,0.418047613,0.892501801,NA,NO,NA
15.04237085,0.218186386,0.380020992,0.326664947,0.551266239,NO,NA
110.6845456,0.246567657,0.256607927,0.230797321,0.453548814,NO,NA
6.685355234,4.452822851,0.850387601,1.56E-08,6.18E-06,UP,NA
28.50991552,0.514715514,0.445282821,0.062360087,0.212631009,NO,NA
0.404660426,0.0299031,0.419887298,0.598740152,NA,NO,NA
42.99303585,0.227598737,0.491216275,0.022543181,0.11817632,NO,NA
2.130116183,0.117852212,0.42196099,0.267552939,NA,NO,NA
649.677436,0.5950603,0.521563107,0.041862649,0.170733687,NO,NA
29.75493452,0.342097953,0.408085388,0.165827211,0.371520491,NO,NA
76.72932167,-0.580298732,0.179115211,0.000456819,0.01080339,DOWN,NA
81.4854647,0.566222409,0.233841541,0.005175385,0.052264292,NO,NA
26.68895186,0.056494056,0.372476611,0.758001131,0.874560105,NO,NA
6.920405535,-0.262703626,0.359893449,0.249756028,0.473826113,NO,NA
6.542492055,0.027031011,0.41074021,0.704538438,0.842149136,NO,NA
7.453156606,-1.998105615,0.615529982,7.57E-05,0.003045714,DOWN,NA
14.14441744,0.063140227,0.294408728,0.761824447,0.877034042,NO,NA
1.844623459,0.052294988,0.417269197,0.428315664,NA,NO,NA
16.11294776,0.154751073,0.301633781,0.481190398,0.686559899,NO,NA
40.24966246,0.038171576,0.422977732,0.009048267,0.071546858,NO,NA
96.00878686,-0.767120057,0.368801651,0.005966487,0.057072415,NO,NA
6.675209972,-0.123301859,0.380595415,0.519045614,0.717101051,NO,NA
0.770399871,0.038953313,0.41346372,0.68361411,NA,NO,NA
80.14285871,0.875751619,0.769055745,0.016519251,0.099373856,NO,NA
0.780379092,0.043064423,0.422909954,0.538729152,NA,NO,NA
