Sample Name,Cell_line
GSM6765206,Normal Human Epidermal Keratinocytes
GSM6765207,Normal Human Epidermal Keratinocytes
GSM6765208,Normal Human Epidermal Keratinocytes
GSM6765209,Normal Human Epidermal Keratinocytes
GSM6765210,Normal Human Epidermal Keratinocytes
GSM6765211,Normal Human Epidermal Keratinocytes
GSM6765212,Normal Human Epidermal Keratinocytes
GSM6765213,Normal Human Epidermal Keratinocytes
GSM6765214,Normal Human Epidermal Keratinocytes
GSM6765215,Normal Human Epidermal Keratinocytes
GSM6765225,Normal Human Epidermal Keratinocytes
GSM6765240,Normal Human Epidermal Keratinocytes
GSM6765254,iPS cell-derived colon organoids
GSM6765268,iPS cell-derived colon organoids
GSM6765281,iPS cell-derived colon organoids
GSM6765294,iPS cell-derived colon organoids
GSM6765307,iPS cell-derived colon organoids
GSM6765321,iPS cell-derived colon organoids
GSM6765335,iPS cell-derived colon organoids
GSM6765349,iPS cell-derived colon organoids
GSM6765363,iPS cell-derived colon organoids
GSM6765379,iPS cell-derived colon organoids
GSM6765393,iPS cell-derived colon organoids
GSM6765408,iPS cell-derived colon organoids
