"initial_alias","converted_alias","name","description","namespace"
"CAMK1","8536","CAMK1","calcium/calmodulin dependent protein kinase I [Source:HGNC Symbol;Acc:HGNC:1459]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BHLHE40","8553","BHLHE40","basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPIRE1","56907","SPIRE1","spire type actin nucleation factor 1 [Source:HGNC Symbol;Acc:HGNC:30622]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC73","79577","CDC73","cell division cycle 73 [Source:HGNC Symbol;Acc:HGNC:16783]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ECHDC3","79746","ECHDC3","enoyl-CoA hydratase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23489]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO4","192670","AGO4","argonaute RISC component 4 [Source:HGNC Symbol;Acc:HGNC:18424]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TES","26136","TES","testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANKRD36","375248","ANKRD36","ankyrin repeat domain 36 [Source:HGNC Symbol;Acc:HGNC:24079]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALDH1L2","160428","ALDH1L2","aldehyde dehydrogenase 1 family member L2 [Source:HGNC Symbol;Acc:HGNC:26777]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPRY2","10253","SPRY2","sprouty RTK signaling antagonist 2 [Source:HGNC Symbol;Acc:HGNC:11270]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HUS1","3364","HUS1","HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LIMD2","80774","LIMD2","LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28142]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FPGS","2356","FPGS","folylpolyglutamate synthase [Source:HGNC Symbol;Acc:HGNC:3824]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIF12","113220","KIF12","kinesin family member 12 [Source:HGNC Symbol;Acc:HGNC:21495]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FRS3","10817","FRS3","fibroblast growth factor receptor substrate 3 [Source:HGNC Symbol;Acc:HGNC:16970]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADCY3","109","ADCY3","adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APH1B","83464","APH1B","aph-1 homolog B, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:24080]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LARP1B","55132","LARP1B","La ribonucleoprotein 1B [Source:HGNC Symbol;Acc:HGNC:24704]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDKL2","8999","CDKL2","cyclin dependent kinase like 2 [Source:HGNC Symbol;Acc:HGNC:1782]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CERS5","91012","CERS5","ceramide synthase 5 [Source:HGNC Symbol;Acc:HGNC:23749]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANKRD52","283373","ANKRD52","ankyrin repeat domain 52 [Source:HGNC Symbol;Acc:HGNC:26614]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"JDP2","122953","JDP2","Jun dimerization protein 2 [Source:HGNC Symbol;Acc:HGNC:17546]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBE2Q2","92912","UBE2Q2","ubiquitin conjugating enzyme E2 Q2 [Source:HGNC Symbol;Acc:HGNC:19248]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NEIL1","79661","NEIL1","nei like DNA glycosylase 1 [Source:HGNC Symbol;Acc:HGNC:18448]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TLNRD1","59274","TLNRD1","talin rod domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13519]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMAD4","4089","SMAD4","SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WTIP","126374","WTIP","WT1 interacting protein [Source:HGNC Symbol;Acc:HGNC:20964]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSPG2","3339","HSPG2","heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MOB3C","148932","MOB3C","MOB kinase activator 3C [Source:HGNC Symbol;Acc:HGNC:29800]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CERS2","29956","CERS2","ceramide synthase 2 [Source:HGNC Symbol;Acc:HGNC:14076]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP8B2","57198","ATP8B2","ATPase phospholipid transporting 8B2 [Source:HGNC Symbol;Acc:HGNC:13534]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PYCR2","29920","PYCR2","pyrroline-5-carboxylate reductase 2 [Source:HGNC Symbol;Acc:HGNC:30262]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPFIA4","8497","PPFIA4","PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF514","84874","ZNF514","zinc finger protein 514 [Source:HGNC Symbol;Acc:HGNC:25894]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RALB","5899","RALB","RAS like proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:9840]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LYG1","129530","LYG1","lysozyme g1 [Source:HGNC Symbol;Acc:HGNC:27014]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IQSEC1","9922","IQSEC1","IQ motif and Sec7 domain ArfGEF 1 [Source:HGNC Symbol;Acc:HGNC:29112]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LIMD1","8994","LIMD1","LIM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:6612]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TM4SF19","116211","TM4SF19","transmembrane 4 L six family member 19 [Source:HGNC Symbol;Acc:HGNC:25167]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DGKQ","1609","DGKQ","diacylglycerol kinase theta [Source:HGNC Symbol;Acc:HGNC:2856]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNCA","6622","SNCA","synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LHFPL2","10184","LHFPL2","LHFPL tetraspan subfamily member 2 [Source:HGNC Symbol;Acc:HGNC:6588]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TPBG","7162","TPBG","trophoblast glycoprotein [Source:HGNC Symbol;Acc:HGNC:12004]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RBAK","57786","RBAK","RB associated KRAB zinc finger [Source:HGNC Symbol;Acc:HGNC:17680]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DOCK11","139818","DOCK11","dedicator of cytokinesis 11 [Source:HGNC Symbol;Acc:HGNC:23483]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MFHAS1","9258","MFHAS1","multifunctional ROCO family signaling regulator 1 [Source:HGNC Symbol;Acc:HGNC:16982]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TACC1","6867","TACC1","transforming acidic coiled-coil containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11522]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VLDLR","7436","VLDLR","very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MED22","6837","MED22","mediator complex subunit 22 [Source:HGNC Symbol;Acc:HGNC:11477]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NACC2","138151","NACC2","NACC family member 2 [Source:HGNC Symbol;Acc:HGNC:23846]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADM","133","ADM","adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMCO3","55002","TMCO3","transmembrane and coiled-coil domains 3 [Source:HGNC Symbol;Acc:HGNC:20329]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SEC24D","9871","SEC24D","SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM263","90488","TMEM263","transmembrane protein 263 [Source:HGNC Symbol;Acc:HGNC:28281]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDK1","5163","PDK1","pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLOD2","5352","PLOD2","procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RASSF3","283349","RASSF3","Ras association domain family member 3 [Source:HGNC Symbol;Acc:HGNC:14271]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LPCAT1","79888","LPCAT1","lysophosphatidylcholine acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:25718]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KCTD15","79047","KCTD15","potassium channel tetramerization domain containing 15 [Source:HGNC Symbol;Acc:HGNC:23297]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UCHL1","7345","UCHL1","ubiquitin C-terminal hydrolase L1 [Source:HGNC Symbol;Acc:HGNC:12513]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIM11","81559","TRIM11","tripartite motif containing 11 [Source:HGNC Symbol;Acc:HGNC:16281]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB6B","51560","RAB6B","RAB6B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14902]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZKSCAN2","342357","ZKSCAN2","zinc finger with KRAB and SCAN domains 2 [Source:HGNC Symbol;Acc:HGNC:25677]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WHAMM","123720","WHAMM","WASP homolog associated with actin, golgi membranes and microtubules [Source:HGNC Symbol;Acc:HGNC:30493]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTPDC1","138639","PTPDC1","protein tyrosine phosphatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30184]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DZIP1L","199221","DZIP1L","DAZ interacting zinc finger protein 1 like [Source:HGNC Symbol;Acc:HGNC:26551]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GDPD5","81544","GDPD5","glycerophosphodiester phosphodiesterase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28804]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GPAT4","137964","GPAT4","glycerol-3-phosphate acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20880]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPATA2L","124044","SPATA2L","spermatogenesis associated 2 like [Source:HGNC Symbol;Acc:HGNC:28393]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC42SE2","56990","CDC42SE2","CDC42 small effector 2 [Source:HGNC Symbol;Acc:HGNC:18547]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACE","1636","ACE","angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CTBP1","1487","CTBP1","C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC37A1","54020","SLC37A1","solute carrier family 37 member 1 [Source:HGNC Symbol;Acc:HGNC:11024]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CBS","102724560","CBS","cystathionine beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CBS","875","CBS","cystathionine beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VAV2","7410","VAV2","vav guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:12658]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LEMD2","221496","LEMD2","LEM domain nuclear envelope protein 2 [Source:HGNC Symbol;Acc:HGNC:21244]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SDC3","9672","SDC3","syndecan 3 [Source:HGNC Symbol;Acc:HGNC:10660]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SYNC","81493","SYNC","syncoilin, intermediate filament protein [Source:HGNC Symbol;Acc:HGNC:28897]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FLVCR1","28982","FLVCR1","FLVCR heme transporter 1 [Source:HGNC Symbol;Acc:HGNC:24682]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TFB2M","64216","TFB2M","transcription factor B2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:18559]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF5A2","56648","EIF5A2","eukaryotic translation initiation factor 5A2 [Source:HGNC Symbol;Acc:HGNC:3301]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATXN7","6314","ATXN7","ataxin 7 [Source:HGNC Symbol;Acc:HGNC:10560]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPM1M","132160","PPM1M","protein phosphatase, Mg2+/Mn2+ dependent 1M [Source:HGNC Symbol;Acc:HGNC:26506]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SAP30","8819","SAP30","Sin3A associated protein 30 [Source:HGNC Symbol;Acc:HGNC:10532]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CASP3","836","CASP3","caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MED30","90390","MED30","mediator complex subunit 30 [Source:HGNC Symbol;Acc:HGNC:23032]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OSGIN2","734","OSGIN2","oxidative stress induced growth inhibitor family member 2 [Source:HGNC Symbol;Acc:HGNC:1355]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC4A2","6522","SLC4A2","solute carrier family 4 member 2 [Source:HGNC Symbol;Acc:HGNC:11028]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM219A","203259","FAM219A","family with sequence similarity 219 member A [Source:HGNC Symbol;Acc:HGNC:19920]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CFL2","1073","CFL2","cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EML5","161436","EML5","EMAP like 5 [Source:HGNC Symbol;Acc:HGNC:18197]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MOAP1","64112","MOAP1","modulator of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:16658]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF319","57567","ZNF319","zinc finger protein 319 [Source:HGNC Symbol;Acc:HGNC:13644]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RSKR","124923","RSKR","ribosomal protein S6 kinase related [Source:HGNC Symbol;Acc:HGNC:26314]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TP53I13","90313","TP53I13","tumor protein p53 inducible protein 13 [Source:HGNC Symbol;Acc:HGNC:25102]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIFC2","90990","KIFC2","kinesin family member C2 [Source:HGNC Symbol;Acc:HGNC:29530]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FTH1","2495","FTH1","ferritin heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:3976]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LTBP3","4054","LTBP3","latent transforming growth factor beta binding protein 3 [Source:HGNC Symbol;Acc:HGNC:6716]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PAFAH1B2","5049","PAFAH1B2","platelet activating factor acetylhydrolase 1b catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:8575]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DDIT4","54541","DDIT4","DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PXK","54899","PXK","PX domain containing serine/threonine kinase like [Source:HGNC Symbol;Acc:HGNC:23326]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BMP1","649","BMP1","bone morphogenetic protein 1 [Source:HGNC Symbol;Acc:HGNC:1067]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTPN9","5780","PTPN9","protein tyrosine phosphatase non-receptor type 9 [Source:HGNC Symbol;Acc:HGNC:9661]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLEKHA2","59339","PLEKHA2","pleckstrin homology domain containing A2 [Source:HGNC Symbol;Acc:HGNC:14336]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGPAT2","10555","AGPAT2","1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:325]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CSGALNACT2","55454","CSGALNACT2","chondroitin sulfate N-acetylgalactosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:24292]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIM56","81844","TRIM56","tripartite motif containing 56 [Source:HGNC Symbol;Acc:HGNC:19028]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KLF13","51621","KLF13","KLF transcription factor 13 [Source:HGNC Symbol;Acc:HGNC:13672]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF778","197320","ZNF778","zinc finger protein 778 [Source:HGNC Symbol;Acc:HGNC:26479]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF282","8427","ZNF282","zinc finger protein 282 [Source:HGNC Symbol;Acc:HGNC:13076]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRT8","3856","KRT8","keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RNF34","80196","RNF34","ring finger protein 34 [Source:HGNC Symbol;Acc:HGNC:17297]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TANC2","26115","TANC2","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:HGNC Symbol;Acc:HGNC:30212]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF160","90338","ZNF160","zinc finger protein 160 [Source:HGNC Symbol;Acc:HGNC:12948]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC42BPG","55561","CDC42BPG","CDC42 binding protein kinase gamma [Source:HGNC Symbol;Acc:HGNC:29829]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM241B","219738","FAM241B","family with sequence similarity 241 member B [Source:HGNC Symbol;Acc:HGNC:23519]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHD7","55636","CHD7","chromodomain helicase DNA binding protein 7 [Source:HGNC Symbol;Acc:HGNC:20626]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DLK2","65989","DLK2","delta like non-canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:21113]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ENC1","8507","ENC1","ectodermal-neural cortex 1 [Source:HGNC Symbol;Acc:HGNC:3345]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RGS19","10287","RGS19","regulator of G protein signaling 19 [Source:HGNC Symbol;Acc:HGNC:13735]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SYNPO","11346","SYNPO","synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MUS81","80198","MUS81","MUS81 structure-specific endonuclease subunit [Source:HGNC Symbol;Acc:HGNC:29814]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAP3K11","4296","MAP3K11","mitogen-activated protein kinase kinase kinase 11 [Source:HGNC Symbol;Acc:HGNC:6850]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLK3","1263","PLK3","polo like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2154]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HOXB2","3212","HOXB2","homeobox B2 [Source:HGNC Symbol;Acc:HGNC:5113]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TNK1","8711","TNK1","tyrosine kinase non receptor 1 [Source:HGNC Symbol;Acc:HGNC:11940]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GOLT1A","127845","GOLT1A","golgi transport 1A [Source:HGNC Symbol;Acc:HGNC:24766]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DENND6A","201627","DENND6A","DENN domain containing 6A [Source:HGNC Symbol;Acc:HGNC:26635]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CTBP2","1488","CTBP2","C-terminal binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2495]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCDC57","284001","CCDC57","coiled-coil domain containing 57 [Source:HGNC Symbol;Acc:HGNC:27564]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BNIP3","664","BNIP3","BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EID2B","126272","EID2B","EP300 interacting inhibitor of differentiation 2B [Source:HGNC Symbol;Acc:HGNC:26796]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FUT2","2524","FUT2","fucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:4013]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DEAF1","10522","DEAF1","DEAF1 transcription factor [Source:HGNC Symbol;Acc:HGNC:14677]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PHETA2","150368","PHETA2","PH domain containing endocytic trafficking adaptor 2 [Source:HGNC Symbol;Acc:HGNC:27161]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TGIF1","7050","TGIF1","TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MIEF2","125170","MIEF2","mitochondrial elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:17920]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ERICH5","203111","ERICH5","glutamate rich 5 [Source:HGNC Symbol;Acc:HGNC:26823]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF354B","117608","ZNF354B","zinc finger protein 354B [Source:HGNC Symbol;Acc:HGNC:17197]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF664","144348","ZNF664","zinc finger protein 664 [Source:HGNC Symbol;Acc:HGNC:25406]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CUEDC1","404093","CUEDC1","CUE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:31350]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FKRP","79147","FKRP","fukutin related protein [Source:HGNC Symbol;Acc:HGNC:17997]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TLCD5","219902","TLCD5","TLC domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28280]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MEX3D","399664","MEX3D","mex-3 RNA binding family member D [Source:HGNC Symbol;Acc:HGNC:16734]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CLDN7","1366","CLDN7","claudin 7 [Source:HGNC Symbol;Acc:HGNC:2049]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
